            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.365123
                   1            0.151881            0.150675           -0.346023
                   2            0.303762            0.301771           -0.330595
                   3            0.455643            0.453007           -0.316617
                   4            0.607525            0.603933            -0.29961
                   5            0.759406            0.754557            -0.28011
                   6            0.911287            0.904918           -0.258671
                   7             1.06317             1.05507           -0.235808
                   8             1.21505             1.20517           -0.212626
                   9             1.36693             1.35531           -0.189711
                  10             1.51881             1.50557           -0.167541
                  11             1.67069             1.65598           -0.146468
                  12             1.82257             1.80661           -0.127036
                  13             1.97445             1.95746           -0.109377
                  14             2.12634             2.10855          -0.0939048
                  15             2.27822             2.25979          -0.0799284
                  16              2.4301             2.41116          -0.0675077
                  17             2.58198             2.56266          -0.0566571
                  18             2.73386             2.71427          -0.0477315
                  19             2.88574             2.86597          -0.0402606
                  20             3.03762             3.01772           -0.033891
                  21              3.1895              3.1695          -0.0284131
                  22             3.34139             3.32131           -0.023782
                  23             3.49327             3.47314          -0.0198937
                  24             3.64515             3.62499          -0.0166306
                  25             3.79703             3.77685          -0.0138888
                  26             3.94891             3.92871          -0.0115917
                  27             4.10079             4.08058         -0.00967197
                  28             4.25267             4.23245         -0.00807792
                  29             4.40455             4.38433         -0.00674666
                  30             4.55643              4.5362         -0.00563346
                  31             4.70832             4.68808         -0.00470102
                  32              4.8602             4.83996         -0.00393402
                  33             5.01208             4.99184         -0.00330304
                  34             5.16396             5.14372         -0.00277989
                  35             5.31584              5.2956         -0.00233786
                  36             5.46772             5.44748         -0.00196631
                  37              5.6196             5.59936          -0.0016565
                  38             5.77148             5.75124         -0.00139976
                  39             5.92336             5.90313         -0.00118586
                  40             6.07525             6.05501         -0.00100716
                  41             6.22713             6.20689        -0.000857828
                  42             6.37901             6.35877        -0.000733305
                  43             6.53089             6.51065        -0.000629329
                  44             6.68277             6.66253         -0.00054237
                  45             6.83465             6.81441        -0.000469494
                  46             6.98653             6.96629        -0.000408631
                  47             7.13841             7.11817        -0.000357814
                  48             7.29029             7.27006        -0.000315289
                  49             7.44218             7.42194        -0.000279399
                  50             7.59406             7.57382        -0.000249067
                  51             7.74594              7.7257        -0.000223479
                  52             7.89782             7.87758        -0.000201973
                  53              8.0497             8.02946        -0.000183826
                  54             8.20158             8.18134        -0.000168429
                  55             8.35346             8.33322        -0.000155295
                  56             8.50534              8.4851        -0.000144067
                  57             8.65723             8.63699        -0.000134432
                  58             8.80911             8.78887        -0.000126123
                  59             8.96099             8.94075        -0.000118911
                  60             9.11287             9.09263        -0.000112615
                  61             9.26475             9.24451        -0.000107083
                  62             9.41663             9.39639        -0.000102186
                  63             9.56851             9.54827        -9.78192e-05
                  64             9.72039             9.70015        -9.38959e-05
                  65             9.87227             9.85204        -9.03504e-05
                  66             10.0242             10.0039         -8.7086e-05
                  67              10.176             10.1558        -8.40508e-05
                  68             10.3279             10.3077        -8.12014e-05
                  69             10.4798             10.4596        -7.85725e-05
                  70             10.6317             10.6114        -7.61321e-05
                  71             10.7836             10.7633        -7.38568e-05
                  72             10.9354             10.9152         -7.1692e-05
                  73             11.0873             11.0671        -6.96242e-05
                  74             11.2392              11.219        -6.76389e-05
                  75             11.3911             11.3708        -6.57247e-05
                  76              11.543             11.5227        -6.38856e-05
                  77             11.6948             11.6746        -6.21121e-05
                  78             11.8467             11.8265        -6.04004e-05
                  79             11.9986             11.9784        -5.87759e-05
                  80             12.1505             12.1303        -5.70289e-05
                  81             12.3024             12.2821        -5.51043e-05
                  82             12.4543              12.434        -5.26882e-05
                  83             12.6061             12.5859        -5.15273e-05
                  84              12.758             12.7378          -5.135e-05
                  85             12.9099             12.8897        -5.24321e-05
                  86             13.0618             13.0415        -5.32509e-05
                  87             13.2137             13.1934        -5.41938e-05
                  88             13.3655             13.3453        -5.53407e-05
                  89             13.5174             13.4972         -5.6753e-05
                  90             13.6693             13.6491        -5.86492e-05
                  91             13.8212             13.8009        -6.12514e-05
                  92             13.9731             13.9528        -6.48993e-05
                  93             14.1249             14.1047        -6.99545e-05
                  94             14.2768             14.2566        -7.71516e-05
                  95             14.4287             14.4085         -8.7636e-05
                  96             14.5806             14.5604        -0.000103463
                  97             14.7325             14.7122        -0.000126464
                  98             14.8844             14.8641        -0.000163367
                  99             15.0362              15.016        -0.000232817
