            Interval               Theta              Radial            Vertical
                   0                   0                   0            -1.03115
                   0                   0                   0            -1.03115
                   1           0.0317333           0.0317279            -1.03165
                   2           0.0634665           0.0634239            -1.03316
                   3           0.0951998            0.095056            -1.03567
                   4            0.126933            0.126592            -1.03919
                   5            0.158666            0.158001            -1.04371
                   6              0.1904            0.189251            -1.04922
                   7            0.222133            0.220311            -1.05572
                   8            0.253866            0.251148             -1.0632
                   9            0.285599            0.281733            -1.07165
                  10            0.317333            0.312033            -1.08107
                  11            0.349066             0.34202            -1.09145
                  12            0.380799            0.371662            -1.10278
                  13            0.412532            0.400931            -1.11504
                  14            0.444266            0.429795            -1.12822
                  15            0.475999            0.458227            -1.14231
                  16            0.507732            0.486197             -1.1573
                  17            0.539465            0.513677            -1.17316
                  18            0.571199            0.540641            -1.18989
                  19            0.602932             0.56706            -1.20747
                  20            0.634665            0.592908            -1.22588
                  21            0.666398            0.618159            -1.24509
                  22            0.698132            0.642788             -1.2651
                  23            0.729865            0.666769            -1.28588
                  24            0.761598            0.690079            -1.30741
                  25            0.793331            0.712694            -1.32967
                  26            0.825065            0.734592            -1.35264
                  27            0.856798             0.75575            -1.37629
                  28            0.888531            0.776146            -1.40059
                  29            0.920265            0.795762            -1.42554
                  30            0.951998            0.814576            -1.45109
                  31            0.983731             0.83257            -1.47723
                  32             1.01546            0.849725            -1.50392
                  33              1.0472            0.866025            -1.53115
                  34             1.07893            0.881453            -1.55887
                  35             1.11066            0.895994            -1.58708
                  36              1.1424            0.909632            -1.61573
                  37             1.17413            0.922354             -1.6448
                  38             1.20586            0.934148            -1.67426
                  39              1.2376            0.945001            -1.70408
                  40             1.26933            0.954902            -1.73423
                  41             1.30106            0.963842            -1.76467
                  42              1.3328            0.971812            -1.79539
                  43             1.36453            0.978802            -1.82634
                  44             1.39626            0.984808             -1.8575
                  45               1.428            0.989821            -1.88883
                  46             1.45973            0.993838            -1.92031
                  47             1.49146            0.996855             -1.9519
                  48              1.5232            0.998867            -1.98356
                  49             1.55493            0.999874            -2.01528
                  50             1.58666            0.999874            -2.04701
                  51              1.6184            0.998867            -2.07873
                  52             1.65013            0.996855             -2.1104
                  53             1.68186            0.993838            -2.14198
                  54              1.7136            0.989821            -2.17346
                  55             1.74533            0.984808            -2.20479
                  56             1.77706            0.978802            -2.23595
                  57              1.8088            0.971812            -2.26691
                  58             1.84053            0.963842            -2.29762
                  59             1.87226            0.954902            -2.32807
                  60               1.904            0.945001            -2.35821
                  61             1.93573            0.934148            -2.38803
                  62             1.96746            0.922354            -2.41749
                  63              1.9992            0.909632            -2.44656
                  64             2.03093            0.895994            -2.47521
                  65             2.06266            0.881453            -2.50342
                  66              2.0944            0.866025            -2.53115
                  67             2.12613            0.849725            -2.55837
                  68             2.15786             0.83257            -2.58507
                  69             2.18959            0.814576             -2.6112
                  70             2.22133            0.795762            -2.63676
                  71             2.25306            0.776146             -2.6617
                  72             2.28479             0.75575            -2.68601
                  73             2.31653            0.734592            -2.70966
                  74             2.34826            0.712694            -2.73262
                  75             2.37999            0.690079            -2.75488
                  76             2.41173            0.666769            -2.77641
                  77             2.44346            0.642788            -2.79719
                  78             2.47519            0.618159             -2.8172
                  79             2.50693            0.592908            -2.83642
                  80             2.53866             0.56706            -2.85482
                  81             2.57039            0.540641             -2.8724
                  82             2.60213            0.513677            -2.88913
                  83             2.63386            0.486197              -2.905
                  84             2.66559            0.458227            -2.91998
                  85             2.69733            0.429795            -2.93407
                  86             2.72906            0.400931            -2.94725
                  87             2.76079            0.371662            -2.95951
                  88             2.79253             0.34202            -2.97084
                  89             2.82426            0.312033            -2.98122
                  90             2.85599            0.281733            -2.99064
                  91             2.88773            0.251148            -2.99909
                  92             2.91946            0.220311            -3.00658
                  93             2.95119            0.189251            -3.01307
                  94             2.98293            0.158001            -3.01858
                  95             3.01466            0.126592             -3.0231
                  96             3.04639            0.095056            -3.02662
                  97             3.07813           0.0634239            -3.02913
                  98             3.10986           0.0317279            -3.03064
                  99             3.14159                   0            -3.03115
