            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.00872
                   0                   0                   0            -2.00872
                   1           0.0317333           0.0317279            -2.00923
                   2           0.0634665           0.0634239            -2.01074
                   3           0.0951998            0.095056            -2.01325
                   4            0.126933            0.126592            -2.01677
                   5            0.158666            0.158001            -2.02128
                   6              0.1904            0.189251            -2.02679
                   7            0.222133            0.220311            -2.03329
                   8            0.253866            0.251148            -2.04077
                   9            0.285599            0.281733            -2.04923
                  10            0.317333            0.312033            -2.05865
                  11            0.349066             0.34202            -2.06903
                  12            0.380799            0.371662            -2.08035
                  13            0.412532            0.400931            -2.09261
                  14            0.444266            0.429795             -2.1058
                  15            0.475999            0.458227            -2.11989
                  16            0.507732            0.486197            -2.13487
                  17            0.539465            0.513677            -2.15074
                  18            0.571199            0.540641            -2.16747
                  19            0.602932             0.56706            -2.18505
                  20            0.634665            0.592908            -2.20345
                  21            0.666398            0.618159            -2.22267
                  22            0.698132            0.642788            -2.24268
                  23            0.729865            0.666769            -2.26346
                  24            0.761598            0.690079            -2.28499
                  25            0.793331            0.712694            -2.30725
                  26            0.825065            0.734592            -2.33021
                  27            0.856798             0.75575            -2.35386
                  28            0.888531            0.776146            -2.37817
                  29            0.920265            0.795762            -2.40311
                  30            0.951998            0.814576            -2.42867
                  31            0.983731             0.83257             -2.4548
                  32             1.01546            0.849725             -2.4815
                  33              1.0472            0.866025            -2.50872
                  34             1.07893            0.881453            -2.53645
                  35             1.11066            0.895994            -2.56466
                  36              1.1424            0.909632            -2.59331
                  37             1.17413            0.922354            -2.62238
                  38             1.20586            0.934148            -2.65184
                  39              1.2376            0.945001            -2.68165
                  40             1.26933            0.954902             -2.7118
                  41             1.30106            0.963842            -2.74225
                  42              1.3328            0.971812            -2.77296
                  43             1.36453            0.978802            -2.80392
                  44             1.39626            0.984808            -2.83507
                  45               1.428            0.989821            -2.86641
                  46             1.45973            0.993838            -2.89788
                  47             1.49146            0.996855            -2.92947
                  48              1.5232            0.998867            -2.96114
                  49             1.55493            0.999874            -2.99286
                  50             1.58666            0.999874            -3.02459
                  51              1.6184            0.998867             -3.0563
                  52             1.65013            0.996855            -3.08797
                  53             1.68186            0.993838            -3.11956
                  54              1.7136            0.989821            -3.15104
                  55             1.74533            0.984808            -3.18237
                  56             1.77706            0.978802            -3.21353
                  57              1.8088            0.971812            -3.24448
                  58             1.84053            0.963842             -3.2752
                  59             1.87226            0.954902            -3.30564
                  60               1.904            0.945001            -3.33579
                  61             1.93573            0.934148            -3.36561
                  62             1.96746            0.922354            -3.39507
                  63              1.9992            0.909632            -3.42414
                  64             2.03093            0.895994            -3.45279
                  65             2.06266            0.881453            -3.48099
                  66              2.0944            0.866025            -3.50872
                  67             2.12613            0.849725            -3.53595
                  68             2.15786             0.83257            -3.56264
                  69             2.18959            0.814576            -3.58878
                  70             2.22133            0.795762            -3.61433
                  71             2.25306            0.776146            -3.63928
                  72             2.28479             0.75575            -3.66358
                  73             2.31653            0.734592            -3.68723
                  74             2.34826            0.712694             -3.7102
                  75             2.37999            0.690079            -3.73246
                  76             2.41173            0.666769            -3.75399
                  77             2.44346            0.642788            -3.77477
                  78             2.47519            0.618159            -3.79478
                  79             2.50693            0.592908            -3.81399
                  80             2.53866             0.56706             -3.8324
                  81             2.57039            0.540641            -3.84998
                  82             2.60213            0.513677            -3.86671
                  83             2.63386            0.486197            -3.88257
                  84             2.66559            0.458227            -3.89756
                  85             2.69733            0.429795            -3.91165
                  86             2.72906            0.400931            -3.92483
                  87             2.76079            0.371662            -3.93709
                  88             2.79253             0.34202            -3.94842
                  89             2.82426            0.312033            -3.95879
                  90             2.85599            0.281733            -3.96822
                  91             2.88773            0.251148            -3.97667
                  92             2.91946            0.220311            -3.98415
                  93             2.95119            0.189251            -3.99065
                  94             2.98293            0.158001            -3.99616
                  95             3.01466            0.126592            -4.00068
                  96             3.04639            0.095056            -4.00419
                  97             3.07813           0.0634239            -4.00671
                  98             3.10986           0.0317279            -4.00822
                  99             3.14159                   0            -4.00872
