            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -4.30705
                   1            0.167151            0.165147            -4.28124
                   2            0.334302            0.327621            -4.24197
                   3            0.501454            0.486319            -4.18949
                   4            0.668605            0.638284            -4.11987
                   5            0.835756            0.781603            -4.03386
                   6             1.00291            0.914776            -3.93284
                   7             1.17006             1.03648            -3.81826
                   8             1.33721             1.14591            -3.69191
                   9             1.50436             1.24308            -3.55591
                  10             1.67151             1.32877            -3.41239
                  11             1.83866              1.4045            -3.26338
                  12             2.00581             1.47261            -3.11073
                  13             2.17297             1.53635            -2.95621
                  14             2.34012             1.59941            -2.80141
                  15             2.50727              1.6657            -2.64797
                  16             2.67442              1.7387             -2.4976
                  17             2.84157             1.82092            -2.35207
                  18             3.00872             1.91348            -2.21289
                  19             3.17587             2.01631             -2.0811
                  20             3.34302             2.12854            -1.95724
                  21             3.51017             2.24902            -1.84137
                  22             3.67733             2.37653             -1.7333
                  23             3.84448             2.50999            -1.63265
                  24             4.01163             2.64841            -1.53895
                  25             4.17878             2.79097            -1.45169
                  26             4.34593             2.93702             -1.3704
                  27             4.51308             3.08603            -1.29466
                  28             4.68023             3.23756            -1.22411
                  29             4.84738             3.39128            -1.15846
                  30             5.01454             3.54689            -1.09741
                  31             5.18169             3.70413            -1.04072
                  32             5.34884              3.8628           -0.988144
                  33             5.51599             4.02269           -0.939413
                  34             5.68314             4.18362           -0.894245
                  35             5.85029             4.34543           -0.852348
                  36             6.01744             4.50799           -0.813439
                  37             6.18459             4.67118           -0.777248
                  38             6.35174             4.83489           -0.743517
                  39              6.5189             4.99905           -0.712015
                  40             6.68605             5.16358           -0.682546
                  41              6.8532             5.32844           -0.654948
                  42             7.02035             5.49358           -0.629078
                  43              7.1875             5.65896           -0.604805
                  44             7.35465             5.82455           -0.582013
                  45              7.5218             5.99032           -0.560595
                  46             7.68895             6.15625           -0.540449
                  47              7.8561             6.32232           -0.521481
                  48             8.02326             6.48851           -0.503602
                  49             8.19041             6.65481           -0.486727
                  50             8.35756              6.8212           -0.470782
                  51             8.52471             6.98767           -0.455698
                  52             8.69186             7.15421           -0.441411
                  53             8.85901             7.32081           -0.427868
                  54             9.02616             7.48747           -0.415019
                  55             9.19331             7.65417           -0.402821
                  56             9.36047             7.82092           -0.391233
                  57             9.52762             7.98771           -0.380215
                  58             9.69477             8.15453           -0.369733
                  59             9.86192             8.32139           -0.359754
                  60             10.0291             8.48827           -0.350247
                  61             10.1962             8.65517           -0.341184
                  62             10.3634              8.8221           -0.332539
                  63             10.5305             8.98905           -0.324287
                  64             10.6977             9.15601           -0.316407
                  65             10.8648             9.32299           -0.308878
                  66              11.032             9.48999           -0.301681
                  67             11.1991               9.657           -0.294799
                  68             11.3663             9.82402           -0.288215
                  69             11.5334             9.99105           -0.281913
                  70             11.7006             10.1581           -0.275878
                  71             11.8677             10.3251           -0.270099
                  72             12.0349             10.4922           -0.264567
                  73              12.202             10.6593           -0.259271
                  74             12.3692             10.8263           -0.254196
                  75             12.5363             10.9934           -0.249333
                  76             12.7035             11.1605           -0.244671
                  77             12.8706             11.3276           -0.240202
                  78             13.0378             11.4947           -0.235918
                  79             13.2049             11.6618           -0.231812
                  80             13.3721             11.8289           -0.227875
                  81             13.5392              11.996           -0.224103
                  82             13.7064             12.1631           -0.220485
                  83             13.8735             12.3302           -0.217014
                  84             14.0407             12.4974           -0.213703
                  85             14.2078             12.6645           -0.210571
                  86              14.375             12.8316           -0.207606
                  87             14.5422             12.9987           -0.204762
                  88             14.7093             13.1659           -0.202033
                  89             14.8765              13.333           -0.199419
                  90             15.0436             13.5001           -0.196916
                  91             15.2108             13.6673           -0.194526
                  92             15.3779             13.8344           -0.192252
                  93             15.5451             14.0015           -0.190096
                  94             15.7122             14.1687           -0.188064
                  95             15.8794             14.3358           -0.186166
                  96             16.0465              14.503           -0.184427
                  97             16.2137             14.6701           -0.182851
                  98             16.3808             14.8372           -0.181487
                  99              16.548             15.0044           -0.180508
