            Interval               Theta              Radial            Vertical
                   0                   0                   0            -4.45888
                   0                   0                   0            -4.45888
                   1           0.0317333           0.0317279            -4.45938
                   2           0.0634665           0.0634239            -4.46089
                   3           0.0951998            0.095056             -4.4634
                   4            0.126933            0.126592            -4.46692
                   5            0.158666            0.158001            -4.47144
                   6              0.1904            0.189251            -4.47695
                   7            0.222133            0.220311            -4.48345
                   8            0.253866            0.251148            -4.49093
                   9            0.285599            0.281733            -4.49938
                  10            0.317333            0.312033             -4.5088
                  11            0.349066             0.34202            -4.51918
                  12            0.380799            0.371662            -4.53051
                  13            0.412532            0.400931            -4.54277
                  14            0.444266            0.429795            -4.55595
                  15            0.475999            0.458227            -4.57004
                  16            0.507732            0.486197            -4.58503
                  17            0.539465            0.513677            -4.60089
                  18            0.571199            0.540641            -4.61762
                  19            0.602932             0.56706             -4.6352
                  20            0.634665            0.592908             -4.6536
                  21            0.666398            0.618159            -4.67282
                  22            0.698132            0.642788            -4.69283
                  23            0.729865            0.666769            -4.71361
                  24            0.761598            0.690079            -4.73514
                  25            0.793331            0.712694             -4.7574
                  26            0.825065            0.734592            -4.78037
                  27            0.856798             0.75575            -4.80401
                  28            0.888531            0.776146            -4.82832
                  29            0.920265            0.795762            -4.85327
                  30            0.951998            0.814576            -4.87882
                  31            0.983731             0.83257            -4.90496
                  32             1.01546            0.849725            -4.93165
                  33              1.0472            0.866025            -4.95888
                  34             1.07893            0.881453             -4.9866
                  35             1.11066            0.895994            -5.01481
                  36              1.1424            0.909632            -5.04346
                  37             1.17413            0.922354            -5.07253
                  38             1.20586            0.934148            -5.10199
                  39              1.2376            0.945001            -5.13181
                  40             1.26933            0.954902            -5.16195
                  41             1.30106            0.963842             -5.1924
                  42              1.3328            0.971812            -5.22312
                  43             1.36453            0.978802            -5.25407
                  44             1.39626            0.984808            -5.28523
                  45               1.428            0.989821            -5.31656
                  46             1.45973            0.993838            -5.34804
                  47             1.49146            0.996855            -5.37963
                  48              1.5232            0.998867            -5.41129
                  49             1.55493            0.999874            -5.44301
                  50             1.58666            0.999874            -5.47474
                  51              1.6184            0.998867            -5.50646
                  52             1.65013            0.996855            -5.53813
                  53             1.68186            0.993838            -5.56971
                  54              1.7136            0.989821            -5.60119
                  55             1.74533            0.984808            -5.63252
                  56             1.77706            0.978802            -5.66368
                  57              1.8088            0.971812            -5.69463
                  58             1.84053            0.963842            -5.72535
                  59             1.87226            0.954902             -5.7558
                  60               1.904            0.945001            -5.78594
                  61             1.93573            0.934148            -5.81576
                  62             1.96746            0.922354            -5.84522
                  63              1.9992            0.909632            -5.87429
                  64             2.03093            0.895994            -5.90294
                  65             2.06266            0.881453            -5.93115
                  66              2.0944            0.866025            -5.95888
                  67             2.12613            0.849725             -5.9861
                  68             2.15786             0.83257             -6.0128
                  69             2.18959            0.814576            -6.03893
                  70             2.22133            0.795762            -6.06448
                  71             2.25306            0.776146            -6.08943
                  72             2.28479             0.75575            -6.11374
                  73             2.31653            0.734592            -6.13738
                  74             2.34826            0.712694            -6.16035
                  75             2.37999            0.690079            -6.18261
                  76             2.41173            0.666769            -6.20414
                  77             2.44346            0.642788            -6.22492
                  78             2.47519            0.618159            -6.24493
                  79             2.50693            0.592908            -6.26415
                  80             2.53866             0.56706            -6.28255
                  81             2.57039            0.540641            -6.30013
                  82             2.60213            0.513677            -6.31686
                  83             2.63386            0.486197            -6.33272
                  84             2.66559            0.458227            -6.34771
                  85             2.69733            0.429795             -6.3618
                  86             2.72906            0.400931            -6.37498
                  87             2.76079            0.371662            -6.38724
                  88             2.79253             0.34202            -6.39857
                  89             2.82426            0.312033            -6.40895
                  90             2.85599            0.281733            -6.41837
                  91             2.88773            0.251148            -6.42682
                  92             2.91946            0.220311             -6.4343
                  93             2.95119            0.189251             -6.4408
                  94             2.98293            0.158001            -6.44631
                  95             3.01466            0.126592            -6.45083
                  96             3.04639            0.095056            -6.45435
                  97             3.07813           0.0634239            -6.45686
                  98             3.10986           0.0317279            -6.45837
                  99             3.14159                   0            -6.45888
