            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.47521
                   0                   0                   0             1.47521
                   1           0.0317333           0.0317279             1.47471
                   2           0.0634665           0.0634239              1.4732
                   3           0.0951998            0.095056             1.47068
                   4            0.126933            0.126592             1.46716
                   5            0.158666            0.158001             1.46265
                   6              0.1904            0.189251             1.45714
                   7            0.222133            0.220311             1.45064
                   8            0.253866            0.251148             1.44316
                   9            0.285599            0.281733              1.4347
                  10            0.317333            0.312033             1.42528
                  11            0.349066             0.34202              1.4149
                  12            0.380799            0.371662             1.40358
                  13            0.412532            0.400931             1.39132
                  14            0.444266            0.429795             1.37814
                  15            0.475999            0.458227             1.36404
                  16            0.507732            0.486197             1.34906
                  17            0.539465            0.513677             1.33319
                  18            0.571199            0.540641             1.31646
                  19            0.602932             0.56706             1.29889
                  20            0.634665            0.592908             1.28048
                  21            0.666398            0.618159             1.26126
                  22            0.698132            0.642788             1.24125
                  23            0.729865            0.666769             1.22047
                  24            0.761598            0.690079             1.19894
                  25            0.793331            0.712694             1.17668
                  26            0.825065            0.734592             1.15372
                  27            0.856798             0.75575             1.13007
                  28            0.888531            0.776146             1.10576
                  29            0.920265            0.795762             1.08082
                  30            0.951998            0.814576             1.05527
                  31            0.983731             0.83257             1.02913
                  32             1.01546            0.849725             1.00243
                  33              1.0472            0.866025            0.975209
                  34             1.07893            0.881453             0.94748
                  35             1.11066            0.895994            0.919275
                  36              1.1424            0.909632            0.890624
                  37             1.17413            0.922354            0.861554
                  38             1.20586            0.934148            0.832095
                  39              1.2376            0.945001            0.802277
                  40             1.26933            0.954902            0.772129
                  41             1.30106            0.963842            0.741682
                  42              1.3328            0.971812            0.710968
                  43             1.36453            0.978802            0.680015
                  44             1.39626            0.984808            0.648857
                  45               1.428            0.989821            0.617523
                  46             1.45973            0.993838            0.586047
                  47             1.49146            0.996855            0.554459
                  48              1.5232            0.998867            0.522791
                  49             1.55493            0.999874            0.491075
                  50             1.58666            0.999874            0.459343
                  51              1.6184            0.998867            0.427627
                  52             1.65013            0.996855            0.395959
                  53             1.68186            0.993838             0.36437
                  54              1.7136            0.989821            0.332894
                  55             1.74533            0.984808             0.30156
                  56             1.77706            0.978802            0.270402
                  57              1.8088            0.971812             0.23945
                  58             1.84053            0.963842            0.208735
                  59             1.87226            0.954902            0.178288
                  60               1.904            0.945001            0.148141
                  61             1.93573            0.934148            0.118322
                  62             1.96746            0.922354           0.0888635
                  63              1.9992            0.909632           0.0597936
                  64             2.03093            0.895994            0.031142
                  65             2.06266            0.881453          0.00293752
                  66              2.0944            0.866025          -0.0247914
                  67             2.12613            0.849725          -0.0520169
                  68             2.15786             0.83257          -0.0787115
                  69             2.18959            0.814576           -0.104848
                  70             2.22133            0.795762           -0.130401
                  71             2.25306            0.776146           -0.155344
                  72             2.28479             0.75575           -0.179652
                  73             2.31653            0.734592           -0.203301
                  74             2.34826            0.712694           -0.226266
                  75             2.37999            0.690079           -0.248525
                  76             2.41173            0.666769           -0.270056
                  77             2.44346            0.642788           -0.290836
                  78             2.47519            0.618159           -0.310844
                  79             2.50693            0.592908           -0.330062
                  80             2.53866             0.56706           -0.348468
                  81             2.57039            0.540641           -0.366045
                  82             2.60213            0.513677           -0.382775
                  83             2.63386            0.486197           -0.398641
                  84             2.66559            0.458227           -0.413627
                  85             2.69733            0.429795           -0.427718
                  86             2.72906            0.400931             -0.4409
                  87             2.76079            0.371662           -0.453159
                  88             2.79253             0.34202           -0.464484
                  89             2.82426            0.312033           -0.474863
                  90             2.85599            0.281733           -0.484284
                  91             2.88773            0.251148            -0.49274
                  92             2.91946            0.220311           -0.500221
                  93             2.95119            0.189251            -0.50672
                  94             2.98293            0.158001            -0.51223
                  95             3.01466            0.126592           -0.516746
                  96             3.04639            0.095056           -0.520263
                  97             3.07813           0.0634239           -0.522778
                  98             3.10986           0.0317279           -0.524288
                  99             3.14159                   0           -0.524791
