            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -3.04463
                   1            0.164794            0.161114            -3.01001
                   2            0.329588            0.319927            -2.96601
                   3            0.494382            0.476125            -2.91348
                   4            0.659175            0.626237            -2.84548
                   5            0.823969            0.768195            -2.76179
                   6            0.988763            0.900318             -2.6633
                   7             1.15356             1.02111            -2.55119
                   8             1.31835             1.12947            -2.42704
                   9             1.48314             1.22537            -2.29302
                  10             1.64794             1.30947             -2.1513
                  11             1.81273             1.38313            -2.00389
                  12             1.97753              1.4487             -1.8527
                  13             2.14232             1.50953            -1.69954
                  14             2.30711             1.56976            -1.54615
                  15             2.47191             1.63394            -1.39437
                  16              2.6367             1.70641            -1.24636
                  17              2.8015             1.79042             -1.1046
                  18             2.96629             1.88764           -0.971534
                  19             3.13108             1.99804           -0.849181
                  20             3.29588             2.12037            -0.73876
                  21             3.46067             2.25278           -0.640666
                  22             3.62547             2.39332           -0.554605
                  23             3.79026             2.54015           -0.479793
                  24             3.95505             2.69175           -0.415162
                  25             4.11985             2.84686            -0.35952
                  26             4.28464             3.00456           -0.311688
                  27             4.44943             3.16414           -0.270574
                  28             4.61423              3.3251           -0.235203
                  29             4.77902             3.48705            -0.20473
                  30             4.94382             3.64973           -0.178439
                  31             5.10861             3.81295           -0.155722
                  32              5.2734             3.97657           -0.136071
                  33              5.4382             4.14048           -0.119052
                  34             5.60299             4.30461           -0.104293
                  35             5.76779             4.46891          -0.0914733
                  36             5.93258             4.63333          -0.0803177
                  37             6.09737             4.79783          -0.0705898
                  38             6.26217             4.96241          -0.0620882
                  39             6.42696             5.12703          -0.0546425
                  40             6.59175              5.2917          -0.0481086
                  41             6.75655             5.45639          -0.0423648
                  42             6.92134             5.62111          -0.0373075
                  43             7.08614             5.78584          -0.0328483
                  44             7.25093             5.95059          -0.0289112
                  45             7.41572             6.11534          -0.0254312
                  46             7.58052             6.28011          -0.0223517
                  47             7.74531             6.44488           -0.019624
                  48             7.91011             6.60966          -0.0172058
                  49              8.0749             6.77444            -0.01506
                  50             8.23969             6.93922          -0.0131546
                  51             8.40449               7.104          -0.0114615
                  52             8.56928             7.26879         -0.00995619
                  53             8.73408             7.43358         -0.00861724
                  54             8.89887             7.59837         -0.00742583
                  55             9.06366             7.76316         -0.00636544
                  56             9.22846             7.92795         -0.00542152
                  57             9.39325             8.09274         -0.00458123
                  58             9.55804             8.25753         -0.00383325
                  59             9.72284             8.42233         -0.00316755
                  60             9.88763             8.58712         -0.00257528
                  61             10.0524             8.75191         -0.00204857
                  62             10.2172             8.91671         -0.00158048
                  63              10.382              9.0815         -0.00116483
                  64             10.5468             9.24629        -0.000796122
                  65             10.7116             9.41109        -0.000469501
                  66             10.8764             9.57588        -0.000180642
                  67             11.0412             9.74067         7.42912e-05
                  68              11.206             9.90547         0.000298727
                  69             11.3708             10.0703         0.000495718
                  70             11.5356             10.2351         0.000667945
                  71             11.7004             10.3998         0.000817725
                  72             11.8652             10.5646          0.00094713
                  73               12.03             10.7294          0.00105798
                  74             12.1947             10.8942          0.00115197
                  75             12.3595              11.059          0.00123039
                  76             12.5243             11.2238          0.00129459
                  77             12.6891             11.3886          0.00134537
                  78             12.8539             11.5534          0.00138382
                  79             13.0187             11.7182          0.00141025
                  80             13.1835              11.883          0.00142557
                  81             13.3483             12.0478          0.00142972
                  82             13.5131             12.2126          0.00142414
                  83             13.6779             12.3774          0.00140841
                  84             13.8427             12.5422          0.00138013
                  85             14.0075              12.707          0.00133605
                  86             14.1723             12.8718          0.00127714
                  87             14.3371             13.0366          0.00120628
                  88             14.5019             13.2013          0.00112231
                  89             14.6667             13.3661          0.00102356
                  90             14.8314             13.5309         0.000907896
                  91             14.9962             13.6957          0.00077241
                  92              15.161             13.8605         0.000613121
                  93             15.3258             14.0253         0.000425185
                  94             15.4906             14.1901         0.000201517
                  95             15.6554             14.3549        -6.82639e-05
                  96             15.8202             14.5197        -0.000399874
                  97              15.985             14.6845        -0.000816905
                  98             16.1498             14.8493         -0.00136404
                  99             16.3146             15.0141         -0.00217537
