            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -4.62293
                   1            0.167615            0.167329            -4.61314
                   2            0.335229             0.33252            -4.58474
                   3            0.502844            0.493565            -4.53827
                   4            0.670459            0.648571            -4.47449
                   5            0.838073            0.795878            -4.39452
                   6             1.00569            0.934122            -4.29974
                   7              1.1733              1.0623            -4.19173
                   8             1.34092             1.17982            -4.07222
                   9             1.50853             1.28658              -3.943
                  10             1.67615             1.38295            -3.80586
                  11             1.84376             1.46988            -3.66255
                  12             2.01138             1.54885             -3.5147
                  13             2.17899             1.62186            -3.36382
                  14             2.34661             1.69136             -3.2113
                  15             2.51422             1.76012            -3.05844
                  16             2.68183             1.83096            -2.90653
                  17             2.84945             1.90645            -2.75688
                  18             3.01706             1.98866            -2.61081
                  19             3.18468             2.07892            -2.46957
                  20             3.35229             2.17783            -2.33425
                  21             3.51991             2.28537            -2.20568
                  22             3.68752             2.40107            -2.08441
                  23             3.85514             2.52423            -1.97071
                  24             4.02275             2.65401            -1.86464
                  25             4.19037             2.78956            -1.76605
                  26             4.35798             2.93007            -1.67466
                  27              4.5256              3.0748            -1.59011
                  28             4.69321             3.22308            -1.51196
                  29             4.86083             3.37435            -1.43975
                  30             5.02844             3.52811            -1.37303
                  31             5.19605             3.68396            -1.31134
                  32             5.36367             3.84155            -1.25425
                  33             5.53128              4.0006            -1.20135
                  34              5.6989             4.16087            -1.15227
                  35             5.86651             4.32216            -1.10667
                  36             6.03413             4.48431            -1.06423
                  37             6.20174             4.64719            -1.02468
                  38             6.36936             4.81069           -0.987748
                  39             6.53697             4.97471           -0.953213
                  40             6.70459             5.13917           -0.920866
                  41              6.8722             5.30402           -0.890521
                  42             7.03982             5.46919           -0.862008
                  43             7.20743             5.63464           -0.835178
                  44             7.37505             5.80034           -0.809893
                  45             7.54266             5.96625           -0.786032
                  46             7.71028             6.13234           -0.763483
                  47             7.87789             6.29859           -0.742145
                  48              8.0455             6.46498           -0.721928
                  49             8.21312             6.63149           -0.702749
                  50             8.38073             6.79811           -0.684533
                  51             8.54835             6.96483           -0.667213
                  52             8.71596             7.13163           -0.650726
                  53             8.88358             7.29851           -0.635015
                  54             9.05119             7.46545           -0.620029
                  55             9.21881             7.63246            -0.60572
                  56             9.38642             7.79951           -0.592044
                  57             9.55404             7.96662           -0.578962
                  58             9.72165             8.13376           -0.566438
                  59             9.88927             8.30095           -0.554436
                  60             10.0569             8.46816           -0.542927
                  61             10.2245             8.63541           -0.531881
                  62             10.3921             8.80269           -0.521271
                  63             10.5597                8.97           -0.511074
                  64             10.7273             9.13733           -0.501265
                  65              10.895             9.30467           -0.491824
                  66             11.0626             9.47204           -0.482732
                  67             11.2302             9.63943           -0.473969
                  68             11.3978             9.80683           -0.465519
                  69             11.5654             9.97424           -0.457365
                  70              11.733             10.1417           -0.449494
                  71             11.9006             10.3091            -0.44189
                  72             12.0683             10.4766           -0.434542
                  73             12.2359              10.644           -0.427436
                  74             12.4035             10.8115           -0.420562
                  75             12.5711              10.979           -0.413909
                  76             12.7387             11.1465           -0.407466
                  77             12.9063              11.314           -0.401225
                  78             13.0739             11.4815           -0.395176
                  79             13.2416              11.649           -0.389312
                  80             13.4092             11.8165           -0.383624
                  81             13.5768              11.984           -0.378105
                  82             13.7444             12.1516           -0.372748
                  83              13.912             12.3191           -0.367546
                  84             14.0796             12.4866           -0.362494
                  85             14.2472             12.6542           -0.357586
                  86             14.4149             12.8217           -0.352815
                  87             14.5825             12.9893           -0.348178
                  88             14.7501             13.1568            -0.34367
                  89             14.9177             13.3244           -0.339285
                  90             15.0853              13.492           -0.335019
                  91             15.2529             13.6595            -0.33087
                  92             15.4206             13.8271           -0.326833
                  93             15.5882             13.9947           -0.322906
                  94             15.7558             14.1622           -0.319085
                  95             15.9234             14.3298           -0.315369
                  96              16.091             14.4974           -0.311756
                  97             16.2586             14.6649           -0.308248
                  98             16.4262             14.8325           -0.304847
                  99             16.5939             15.0001            -0.30157
