            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.185479
                   1            0.151772             0.14988           -0.161589
                   2            0.303543            0.301597           -0.157746
                   3            0.455315            0.453287           -0.152647
                   4            0.607087            0.604215           -0.136682
                   5            0.758859            0.755744           -0.128113
                   6             0.91063            0.907507           -0.126051
                   7              1.0624             1.05851           -0.110735
                   8             1.21417             1.21019           -0.115729
                   9             1.36595             1.36186           -0.121213
                  10             1.51772             1.51363           -0.119861
                  11             1.66949             1.66535           -0.123516
                  12             1.82126             1.81709           -0.127053
                  13             1.97303             1.96857           -0.117615
                  14              2.1248             2.12017           -0.124923
                  15             2.27658             2.27142           -0.112477
                  16             2.42835             2.42267          -0.0998964
                  17             2.58012             2.57411           -0.089936
                  18             2.73189             2.72583          -0.0860314
                  19             2.88366             2.87746          -0.0792349
                  20             3.03543             3.02921          -0.0812888
                  21             3.18721             3.18091          -0.0765195
                  22             3.33898             3.33266          -0.0792432
                  23             3.49075             3.48433          -0.0845809
                  24             3.64252             3.63609          -0.0870337
                  25             3.79429             3.78785          -0.0860139
                  26             3.94606             3.93963          -0.0857489
                  27             4.09784             4.09121          -0.0781072
                  28             4.24961             4.24298          -0.0778377
                  29             4.40138             4.39457          -0.0705613
                  30             4.55315              4.5462          -0.0638159
                  31             4.70492             4.69772          -0.0551282
                  32              4.8567             4.84949          -0.0555151
                  33             5.00847             5.00126          -0.0551643
                  34             5.16024             5.15298          -0.0592213
                  35             5.31201             5.30475          -0.0580252
                  36             5.46378              5.4565          -0.0600841
                  37             5.61555             5.60826          -0.0619575
                  38             5.76733             5.76002          -0.0637995
                  39              5.9191             5.91178          -0.0613323
                  40             6.07087             6.06352          -0.0583098
                  41             6.22264             6.21516          -0.0521535
                  42             6.37441             6.36692          -0.0501753
                  43             6.52618             6.51864          -0.0462082
                  44             6.67796              6.6704          -0.0440958
                  45             6.82973              6.8221          -0.0393851
                  46              6.9815             6.97386          -0.0408034
                  47             7.13327             7.12562          -0.0425857
                  48             7.28504             7.27733           -0.047038
                  49             7.43681              7.4291          -0.0464324
                  50             7.58859             7.58087          -0.0466244
                  51             7.74036             7.73264          -0.0456581
                  52             7.89213             7.88441          -0.0459792
                  53              8.0439             8.03616          -0.0433643
                  54             8.19567              8.1879          -0.0402923
                  55             8.34744             8.33961          -0.0358683
                  56             8.49922             8.49137          -0.0344259
                  57             8.65099             8.64314          -0.0330441
                  58             8.80276             8.79491          -0.0334625
                  59             8.95453             8.94667          -0.0318468
                  60              9.1063             9.09844          -0.0331152
                  61             9.25807             9.25021          -0.0344265
                  62             9.40985             9.40195          -0.0375977
                  63             9.56162             9.55372          -0.0368585
                  64             9.71339             9.70548          -0.0357168
                  65             9.86516             9.85724          -0.0332992
                  66             10.0169              10.009          -0.0327799
                  67             10.1687             10.1608           -0.030963
                  68             10.3205             10.3125          -0.0291756
                  69             10.4722             10.4643          -0.0266302
                  70              10.624              10.616          -0.0261092
                  71             10.7758             10.7678          -0.0261144
                  72             10.9276             10.9196          -0.0273088
                  73             11.0793             11.0714          -0.0271058
                  74             11.2311             11.2231          -0.0277211
                  75             11.3829             11.3749           -0.027925
                  76             11.5347             11.5267          -0.0293299
                  77             11.6864             11.6784          -0.0285107
                  78             11.8382             11.8302          -0.0271785
                  79               11.99              11.982          -0.0247981
                  80             12.1417             12.1337          -0.0241843
                  81             12.2935             12.2855          -0.0233842
                  82             12.4453             12.4373          -0.0229241
                  83             12.5971              12.589          -0.0218145
                  84             12.7488             12.7408          -0.0217875
                  85             12.9006             12.8926          -0.0220699
                  86             13.0524             13.0443          -0.0228629
                  87             13.2041             13.1961          -0.0229164
                  88             13.3559             13.3479          -0.0229523
                  89             13.5077             13.4997          -0.0225405
                  90             13.6595             13.6514          -0.0227341
                  91             13.8112             13.8032          -0.0221351
                  92              13.963              13.955          -0.0213672
                  93             14.1148             14.1067          -0.0200172
                  94             14.2665             14.2585            -0.01962
                  95             14.4183             14.4103          -0.0194199
                  96             14.5701             14.5621          -0.0196038
                  97             14.7219             14.7138          -0.0191245
                  98             14.8736             14.8656          -0.0191018
                  99             15.0254             15.0174          -0.0191747
