            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -1.48676
                   1            0.153056            0.148318            -1.44899
                   2            0.306112            0.297097            -1.41304
                   3            0.459169            0.446506            -1.37983
                   4            0.612225            0.593314            -1.33654
                   5            0.765281            0.737312            -1.28467
                   6            0.918337            0.880209            -1.22983
                   7             1.07139             1.02183             -1.1718
                   8             1.22445             1.16543            -1.11882
                   9             1.37751             1.31102            -1.07159
                  10             1.53056             1.45861            -1.03107
                  11             1.68362             1.60657           -0.991877
                  12             1.83667             1.75593           -0.958486
                  13             1.98973             1.90545           -0.925735
                  14             2.14279             2.05623           -0.899475
                  15             2.29584             2.20561           -0.866123
                  16              2.4489             2.35378           -0.827739
                  17             2.60196             2.50145           -0.787497
                  18             2.75501             2.65125           -0.756086
                  19             2.90807             2.80163           -0.727629
                  20             3.06112              2.9521           -0.699593
                  21             3.21418              3.1026            -0.67172
                  22             3.36724             3.25372           -0.647458
                  23             3.52029             3.40535            -0.62662
                  24             3.67335             3.55738           -0.608913
                  25             3.82641             3.70939           -0.591096
                  26             3.97946             3.86147           -0.573834
                  27             4.13252             4.01349           -0.555998
                  28             4.28557             4.16571           -0.540012
                  29             4.43863             4.31781           -0.522989
                  30             4.59169             4.46983           -0.505175
                  31             4.74474             4.62169           -0.486113
                  32              4.8978             4.77394           -0.470356
                  33             5.05086             4.92645           -0.457463
                  34             5.20391             5.07907           -0.445984
                  35             5.35697             5.23163           -0.433611
                  36             5.51002             5.38422           -0.421668
                  37             5.66308             5.53689           -0.410835
                  38             5.81614             5.68964           -0.401201
                  39             5.96919             5.84238           -0.391387
                  40             6.12225             5.99511           -0.381329
                  41             6.27531             6.14782           -0.370997
                  42             6.42836             6.30057           -0.361416
                  43             6.58142             6.45334           -0.352088
                  44             6.73447             6.60613           -0.343028
                  45             6.88753             6.75891           -0.333761
                  46             7.04059             6.91174            -0.32553
                  47             7.19364             7.06463           -0.318415
                  48              7.3467             7.21756           -0.312111
                  49             7.49976             7.37047           -0.305396
                  50             7.65281             7.52337           -0.298458
                  51             7.80587             7.67627           -0.291713
                  52             7.95892             7.82921           -0.285564
                  53             8.11198             7.98215           -0.279557
                  54             8.26504             8.13508           -0.273506
                  55             8.41809             8.28802           -0.267414
                  56             8.57115             8.44097           -0.261682
                  57              8.7242             8.59393           -0.256272
                  58             8.87726              8.7469           -0.251133
                  59             9.03032             8.89987           -0.246027
                  60             9.18337             9.05285            -0.24121
                  61             9.33643             9.20584           -0.236729
                  62             9.48949             9.35884           -0.232564
                  63             9.64254             9.51184           -0.228315
                  64              9.7956             9.66483           -0.223969
                  65             9.94865             9.81783           -0.219666
                  66             10.1017             9.97083           -0.215644
                  67             10.2548             10.1238           -0.211805
                  68             10.4078             10.2768           -0.208034
                  69             10.5609             10.4299           -0.204295
                  70             10.7139             10.5829           -0.200714
                  71              10.867             10.7359           -0.197319
                  72               11.02             10.8889           -0.194073
                  73             11.1731             11.0419            -0.19088
                  74             11.3262              11.195           -0.187774
                  75             11.4792              11.348           -0.184771
                  76             11.6323              11.501            -0.18189
                  77             11.7853              11.654           -0.179033
                  78             11.9384             11.8071           -0.176183
                  79             12.0914             11.9601           -0.173368
                  80             12.2445             12.1131           -0.170683
                  81             12.3976             12.2662           -0.168112
                  82             12.5506             12.4192           -0.165602
                  83             12.7037             12.5722           -0.163155
                  84             12.8567             12.7253           -0.160795
                  85             13.0098             12.8783           -0.158549
                  86             13.1628             13.0314           -0.156353
                  87             13.3159             13.1844            -0.15419
                  88             13.4689             13.3374            -0.15206
                  89              13.622             13.4905           -0.149962
                  90             13.7751             13.6435           -0.147912
                  91             13.9281             13.7966           -0.145894
                  92             14.0812             13.9496           -0.143904
                  93             14.2342             14.1027           -0.141949
                  94             14.3873             14.2557           -0.140053
                  95             14.5403             14.4087           -0.138222
                  96             14.6934             14.5618           -0.136462
                  97             14.8465             14.7148            -0.13473
                  98             14.9995             14.8679           -0.133065
                  99             15.1526             15.0209           -0.131546
