            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.03111
                   0                   0                   0             1.03111
                   1           0.0317333           0.0317279              1.0306
                   2           0.0634665           0.0634239             1.02909
                   3           0.0951998            0.095056             1.02658
                   4            0.126933            0.126592             1.02306
                   5            0.158666            0.158001             1.01855
                   6              0.1904            0.189251             1.01303
                   7            0.222133            0.220311             1.00654
                   8            0.253866            0.251148            0.999055
                   9            0.285599            0.281733            0.990599
                  10            0.317333            0.312033            0.981177
                  11            0.349066             0.34202            0.970799
                  12            0.380799            0.371662            0.959474
                  13            0.412532            0.400931            0.947215
                  14            0.444266            0.429795            0.934033
                  15            0.475999            0.458227            0.919942
                  16            0.507732            0.486197            0.904956
                  17            0.539465            0.513677             0.88909
                  18            0.571199            0.540641             0.87236
                  19            0.602932             0.56706            0.854783
                  20            0.634665            0.592908            0.836376
                  21            0.666398            0.618159            0.817159
                  22            0.698132            0.642788            0.797151
                  23            0.729865            0.666769            0.776371
                  24            0.761598            0.690079             0.75484
                  25            0.793331            0.712694            0.732581
                  26            0.825065            0.734592            0.709616
                  27            0.856798             0.75575            0.685967
                  28            0.888531            0.776146            0.661659
                  29            0.920265            0.795762            0.636716
                  30            0.951998            0.814576            0.611163
                  31            0.983731             0.83257            0.585026
                  32             1.01546            0.849725            0.558332
                  33              1.0472            0.866025            0.531106
                  34             1.07893            0.881453            0.503377
                  35             1.11066            0.895994            0.475173
                  36              1.1424            0.909632            0.446521
                  37             1.17413            0.922354            0.417451
                  38             1.20586            0.934148            0.387992
                  39              1.2376            0.945001            0.358174
                  40             1.26933            0.954902            0.328027
                  41             1.30106            0.963842             0.29758
                  42              1.3328            0.971812            0.266865
                  43             1.36453            0.978802            0.235913
                  44             1.39626            0.984808            0.204754
                  45               1.428            0.989821            0.173421
                  46             1.45973            0.993838            0.141944
                  47             1.49146            0.996855            0.110356
                  48              1.5232            0.998867           0.0786881
                  49             1.55493            0.999874           0.0469722
                  50             1.58666            0.999874           0.0152402
                  51              1.6184            0.998867          -0.0164757
                  52             1.65013            0.996855          -0.0481437
                  53             1.68186            0.993838           -0.079732
                  54              1.7136            0.989821           -0.111209
                  55             1.74533            0.984808           -0.142542
                  56             1.77706            0.978802             -0.1737
                  57              1.8088            0.971812           -0.204653
                  58             1.84053            0.963842           -0.235368
                  59             1.87226            0.954902           -0.265814
                  60               1.904            0.945001           -0.295962
                  61             1.93573            0.934148            -0.32578
                  62             1.96746            0.922354           -0.355239
                  63              1.9992            0.909632           -0.384309
                  64             2.03093            0.895994            -0.41296
                  65             2.06266            0.881453           -0.441165
                  66              2.0944            0.866025           -0.468894
                  67             2.12613            0.849725           -0.496119
                  68             2.15786             0.83257           -0.522814
                  69             2.18959            0.814576           -0.548951
                  70             2.22133            0.795762           -0.574503
                  71             2.25306            0.776146           -0.599446
                  72             2.28479             0.75575           -0.623755
                  73             2.31653            0.734592           -0.647403
                  74             2.34826            0.712694           -0.670369
                  75             2.37999            0.690079           -0.692628
                  76             2.41173            0.666769           -0.714158
                  77             2.44346            0.642788           -0.734938
                  78             2.47519            0.618159           -0.754947
                  79             2.50693            0.592908           -0.774164
                  80             2.53866             0.56706            -0.79257
                  81             2.57039            0.540641           -0.810147
                  82             2.60213            0.513677           -0.826877
                  83             2.63386            0.486197           -0.842743
                  84             2.66559            0.458227           -0.857729
                  85             2.69733            0.429795            -0.87182
                  86             2.72906            0.400931           -0.885002
                  87             2.76079            0.371662           -0.897262
                  88             2.79253             0.34202           -0.908586
                  89             2.82426            0.312033           -0.918965
                  90             2.85599            0.281733           -0.928387
                  91             2.88773            0.251148           -0.936842
                  92             2.91946            0.220311           -0.944324
                  93             2.95119            0.189251           -0.950822
                  94             2.98293            0.158001           -0.956333
                  95             3.01466            0.126592           -0.960849
                  96             3.04639            0.095056           -0.964366
                  97             3.07813           0.0634239            -0.96688
                  98             3.10986           0.0317279            -0.96839
                  99             3.14159                   0           -0.968894
