            Interval               Theta              Radial            Vertical
                   0                   0                   0            0.801335
                   0                   0                   0            0.801335
                   1           0.0317333           0.0317279            0.800831
                   2           0.0634665           0.0634239            0.799322
                   3           0.0951998            0.095056            0.796807
                   4            0.126933            0.126592             0.79329
                   5            0.158666            0.158001            0.788774
                   6              0.1904            0.189251            0.783264
                   7            0.222133            0.220311            0.776765
                   8            0.253866            0.251148            0.769284
                   9            0.285599            0.281733            0.760828
                  10            0.317333            0.312033            0.751406
                  11            0.349066             0.34202            0.741028
                  12            0.380799            0.371662            0.729703
                  13            0.412532            0.400931            0.717443
                  14            0.444266            0.429795            0.704261
                  15            0.475999            0.458227             0.69017
                  16            0.507732            0.486197            0.675184
                  17            0.539465            0.513677            0.659318
                  18            0.571199            0.540641            0.642588
                  19            0.602932             0.56706            0.625011
                  20            0.634665            0.592908            0.606605
                  21            0.666398            0.618159            0.587388
                  22            0.698132            0.642788            0.567379
                  23            0.729865            0.666769            0.546599
                  24            0.761598            0.690079            0.525069
                  25            0.793331            0.712694             0.50281
                  26            0.825065            0.734592            0.479844
                  27            0.856798             0.75575            0.456196
                  28            0.888531            0.776146            0.431888
                  29            0.920265            0.795762            0.406945
                  30            0.951998            0.814576            0.381392
                  31            0.983731             0.83257            0.355255
                  32             1.01546            0.849725             0.32856
                  33              1.0472            0.866025            0.301335
                  34             1.07893            0.881453            0.273606
                  35             1.11066            0.895994            0.245401
                  36              1.1424            0.909632             0.21675
                  37             1.17413            0.922354             0.18768
                  38             1.20586            0.934148            0.158221
                  39              1.2376            0.945001            0.128403
                  40             1.26933            0.954902           0.0982553
                  41             1.30106            0.963842           0.0678087
                  42              1.3328            0.971812           0.0370938
                  43             1.36453            0.978802          0.00614155
                  44             1.39626            0.984808          -0.0250169
                  45               1.428            0.989821          -0.0563503
                  46             1.45973            0.993838          -0.0878269
                  47             1.49146            0.996855           -0.119415
                  48              1.5232            0.998867           -0.151083
                  49             1.55493            0.999874           -0.182799
                  50             1.58666            0.999874           -0.214531
                  51              1.6184            0.998867           -0.246247
                  52             1.65013            0.996855           -0.277915
                  53             1.68186            0.993838           -0.309503
                  54              1.7136            0.989821            -0.34098
                  55             1.74533            0.984808           -0.372313
                  56             1.77706            0.978802           -0.403472
                  57              1.8088            0.971812           -0.434424
                  58             1.84053            0.963842           -0.465139
                  59             1.87226            0.954902           -0.495585
                  60               1.904            0.945001           -0.525733
                  61             1.93573            0.934148           -0.555551
                  62             1.96746            0.922354            -0.58501
                  63              1.9992            0.909632            -0.61408
                  64             2.03093            0.895994           -0.642732
                  65             2.06266            0.881453           -0.670936
                  66              2.0944            0.866025           -0.698665
                  67             2.12613            0.849725           -0.725891
                  68             2.15786             0.83257           -0.752585
                  69             2.18959            0.814576           -0.778722
                  70             2.22133            0.795762           -0.804275
                  71             2.25306            0.776146           -0.829218
                  72             2.28479             0.75575           -0.853526
                  73             2.31653            0.734592           -0.877175
                  74             2.34826            0.712694            -0.90014
                  75             2.37999            0.690079           -0.922399
                  76             2.41173            0.666769            -0.94393
                  77             2.44346            0.642788            -0.96471
                  78             2.47519            0.618159           -0.984718
                  79             2.50693            0.592908            -1.00394
                  80             2.53866             0.56706            -1.02234
                  81             2.57039            0.540641            -1.03992
                  82             2.60213            0.513677            -1.05665
                  83             2.63386            0.486197            -1.07251
                  84             2.66559            0.458227             -1.0875
                  85             2.69733            0.429795            -1.10159
                  86             2.72906            0.400931            -1.11477
                  87             2.76079            0.371662            -1.12703
                  88             2.79253             0.34202            -1.13836
                  89             2.82426            0.312033            -1.14874
                  90             2.85599            0.281733            -1.15816
                  91             2.88773            0.251148            -1.16661
                  92             2.91946            0.220311            -1.17409
                  93             2.95119            0.189251            -1.18059
                  94             2.98293            0.158001             -1.1861
                  95             3.01466            0.126592            -1.19062
                  96             3.04639            0.095056            -1.19414
                  97             3.07813           0.0634239            -1.19665
                  98             3.10986           0.0317279            -1.19816
                  99             3.14159                   0            -1.19867
