            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -1.12508
                   1            0.152506            0.152472            -1.12187
                   2            0.305011            0.304745            -1.11346
                   3            0.457517            0.456649            -1.09992
                   4            0.610023            0.608027            -1.08141
                   5            0.762528            0.758769            -1.05828
                   6            0.915034            0.908811            -1.03098
                   7             1.06754             1.05814            -1.00003
                   8             1.22005             1.20681           -0.966011
                   9             1.37255             1.35489           -0.929567
                  10             1.52506             1.50253           -0.891352
                  11             1.67756             1.64988           -0.852029
                  12             1.83007             1.79711           -0.812237
                  13             1.98257             1.94436           -0.772571
                  14             2.13508             2.09179           -0.733558
                  15             2.28758             2.23951           -0.695645
                  16             2.44009             2.38759           -0.659183
                  17              2.5926             2.53609           -0.624431
                  18              2.7451             2.68501           -0.591557
                  19             2.89761             2.83435           -0.560649
                  20             3.05011             2.98409           -0.531727
                  21             3.20262             3.13419           -0.504763
                  22             3.35512             3.28462           -0.479687
                  23             3.50763             3.43534           -0.456408
                  24             3.66014             3.58631           -0.434816
                  25             3.81264             3.73749           -0.414795
                  26             3.96515             3.88886           -0.396229
                  27             4.11765             4.04039           -0.379002
                  28             4.27016             4.19206           -0.363004
                  29             4.42266             4.34384           -0.348133
                  30             4.57517             4.49571           -0.334293
                  31             4.72767             4.64767           -0.321394
                  32             4.88018              4.7997           -0.309356
                  33             5.03269             4.95179           -0.298106
                  34             5.18519             5.10393           -0.287576
                  35              5.3377             5.25612           -0.277707
                  36              5.4902             5.40834           -0.268443
                  37             5.64271              5.5606           -0.259734
                  38             5.79521             5.71289           -0.251536
                  39             5.94772              5.8652           -0.243809
                  40             6.10023             6.01753           -0.236515
                  41             6.25273             6.16988           -0.229621
                  42             6.40524             6.32224           -0.223097
                  43             6.55774             6.47462           -0.216916
                  44             6.71025             6.62702           -0.211053
                  45             6.86275             6.77942           -0.205485
                  46             7.01526             6.93183           -0.200191
                  47             7.16776             7.08426           -0.195153
                  48             7.32027             7.23669           -0.190354
                  49             7.47278             7.38912           -0.185777
                  50             7.62528             7.54157           -0.181409
                  51             7.77779             7.69401           -0.177235
                  52             7.93029             7.84647           -0.173245
                  53              8.0828             7.99893           -0.169426
                  54              8.2353             8.15139           -0.165768
                  55             8.38781             8.30385           -0.162262
                  56             8.54032             8.45632           -0.158899
                  57             8.69282             8.60879           -0.155671
                  58             8.84533             8.76127            -0.15257
                  59             8.99783             8.91374           -0.149589
                  60             9.15034             9.06622           -0.146722
                  61             9.30284              9.2187           -0.143963
                  62             9.45535             9.37119           -0.141306
                  63             9.60786             9.52367           -0.138746
                  64             9.76036             9.67615           -0.136277
                  65             9.91287             9.82864           -0.133896
                  66             10.0654             9.98113           -0.131599
                  67             10.2179             10.1336            -0.12938
                  68             10.3704             10.2861           -0.127238
                  69             10.5229             10.4386           -0.125167
                  70             10.6754             10.5911           -0.123165
                  71             10.8279             10.7436           -0.121228
                  72             10.9804             10.8961           -0.119355
                  73             11.1329             11.0486           -0.117541
                  74             11.2854             11.2011           -0.115785
                  75             11.4379             11.3536           -0.114084
                  76             11.5904             11.5061           -0.112436
                  77             11.7429             11.6586           -0.110839
                  78             11.8954             11.8111           -0.109291
                  79             12.0479             11.9636            -0.10779
                  80             12.2005             12.1161           -0.106334
                  81              12.353             12.2686           -0.104922
                  82             12.5055             12.4211           -0.103552
                  83              12.658             12.5736           -0.102223
                  84             12.8105             12.7261           -0.100933
                  85              12.963             12.8786          -0.0996806
                  86             13.1155             13.0311          -0.0984655
                  87              13.268             13.1836          -0.0972864
                  88             13.4205             13.3361          -0.0961421
                  89              13.573             13.4886           -0.095032
                  90             13.7255             13.6411          -0.0939553
                  91              13.878             13.7936          -0.0929114
                  92             14.0305             13.9461          -0.0918999
                  93              14.183             14.0986          -0.0909206
                  94             14.3355             14.2511          -0.0899736
                  95              14.488             14.4036          -0.0890593
                  96             14.6405             14.5561          -0.0881791
                  97              14.793             14.7086          -0.0873352
                  98             14.9456             14.8611          -0.0865331
                  99             15.0981             15.0136          -0.0857882
