            Interval                 Arc              Radial            Vertical
                   0                   0                   0              -1.899
                   1            0.154383            0.154281            -1.89339
                   2            0.308766            0.308005            -1.87913
                   3            0.463149            0.460699            -1.85636
                   4            0.617533            0.611899            -1.82517
                   5            0.771916            0.761241            -1.78604
                   6            0.926299            0.908471            -1.73959
                   7             1.08068             1.05347            -1.68657
                   8             1.23507             1.19624            -1.62784
                   9             1.38945             1.33696            -1.56434
                  10             1.54383             1.47593             -1.4971
                  11             1.69821             1.61358             -1.4272
                  12              1.8526             1.75044            -1.35575
                  13             2.00698             1.88706            -1.28386
                  14             2.16136             2.02402            -1.21261
                  15             2.31575              2.1618            -1.14297
                  16             2.47013             2.30081            -1.07581
                  17             2.62451              2.4413             -1.0118
                  18              2.7789             2.58339           -0.951438
                  19             2.93328             2.72709           -0.895003
                  20             3.08766             2.87231           -0.842605
                  21             3.24205             3.01891           -0.794206
                  22             3.39643             3.16673           -0.749658
                  23             3.55081             3.31559           -0.708741
                  24              3.7052             3.46534           -0.671196
                  25             3.85958             3.61583           -0.636746
                  26             4.01396             3.76694           -0.605118
                  27             4.16835             3.91856           -0.576048
                  28             4.32273             4.07061            -0.54929
                  29             4.47711               4.223           -0.524618
                  30             4.63149              4.3757           -0.501829
                  31             4.78588             4.52863           -0.480737
                  32             4.94026             4.68177           -0.461178
                  33             5.09464             4.83508           -0.443006
                  34             5.24903             4.98853           -0.426089
                  35             5.40341             5.14211           -0.410312
                  36             5.55779             5.29579           -0.395569
                  37             5.71218             5.44955            -0.38177
                  38             5.86656             5.60339           -0.368831
                  39             6.02094              5.7573           -0.356679
                  40             6.17533             5.91126           -0.345248
                  41             6.32971             6.06526           -0.334479
                  42             6.48409             6.21931           -0.324319
                  43             6.63848              6.3734            -0.31472
                  44             6.79286             6.52751            -0.30564
                  45             6.94724             6.68165           -0.297038
                  46             7.10162             6.83582           -0.288882
                  47             7.25601             6.99001           -0.281137
                  48             7.41039             7.14422           -0.273776
                  49             7.56477             7.29844           -0.266772
                  50             7.71916             7.45268           -0.260101
                  51             7.87354             7.60693           -0.253741
                  52             8.02792              7.7612           -0.247672
                  53             8.18231             7.91547           -0.241875
                  54             8.33669             8.06976           -0.236334
                  55             8.49107             8.22405           -0.231032
                  56             8.64546             8.37835           -0.225957
                  57             8.79984             8.53265           -0.221094
                  58             8.95422             8.68697           -0.216432
                  59             9.10861             8.84129           -0.211958
                  60             9.26299             8.99561           -0.207663
                  61             9.41737             9.14994           -0.203537
                  62             9.57176             9.30427           -0.199571
                  63             9.72614              9.4586           -0.195756
                  64             9.88052             9.61294           -0.192085
                  65             10.0349             9.76729           -0.188551
                  66             10.1893             9.92163           -0.185146
                  67             10.3437              10.076           -0.181866
                  68             10.4981             10.2303           -0.178702
                  69             10.6524             10.3847           -0.175651
                  70             10.8068              10.539           -0.172707
                  71             10.9612             10.6934           -0.169865
                  72             11.1156             10.8478           -0.167121
                  73               11.27             11.0021           -0.164471
                  74             11.4244             11.1565            -0.16191
                  75             11.5787             11.3108           -0.159435
                  76             11.7331             11.4652           -0.157042
                  77             11.8875             11.6196           -0.154729
                  78             12.0419             11.7739           -0.152491
                  79             12.1963             11.9283           -0.150327
                  80             12.3507             12.0827           -0.148234
                  81              12.505              12.237           -0.146208
                  82             12.6594             12.3914           -0.144249
                  83             12.8138             12.5458           -0.142353
                  84             12.9682             12.7002           -0.140519
                  85             13.1226             12.8545           -0.138745
                  86              13.277             13.0089            -0.13703
                  87             13.4313             13.1633           -0.135371
                  88             13.5857             13.3177           -0.133768
                  89             13.7401              13.472            -0.13222
                  90             13.8945             13.6264           -0.130725
                  91             14.0489             13.7808           -0.129283
                  92             14.2032             13.9352           -0.127895
                  93             14.3576             14.0895            -0.12656
                  94              14.512             14.2439           -0.125279
                  95             14.6664             14.3983           -0.124055
                  96             14.8208             14.5527           -0.122889
                  97             14.9752             14.7071            -0.12179
                  98             15.1295             14.8614            -0.12077
                  99             15.2839             15.0158           -0.119865
