            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -1.52462
                   1            0.152922             0.14908            -1.49057
                   2            0.305843            0.298655            -1.45873
                   3            0.458765            0.448661            -1.42902
                   4            0.611686            0.596521               -1.39
                   5            0.764608            0.742204            -1.34351
                   6            0.917529            0.887094             -1.2946
                   7             1.07045             1.03087             -1.2425
                   8             1.22337             1.17603            -1.19441
                   9             1.37629             1.32262            -1.15085
                  10             1.52922             1.47054            -1.11206
                  11             1.68214             1.61857            -1.07372
                  12             1.83506             1.76775            -1.04008
                  13             1.98798             1.91699            -1.00671
                  14              2.1409             2.06742           -0.979261
                  15             2.29382              2.2167           -0.946085
                  16             2.44674             2.36503           -0.908892
                  17             2.59967             2.51301           -0.870333
                  18             2.75259             2.66284           -0.839718
                  19             2.90551             2.81322           -0.811948
                  20             3.05843              2.9637           -0.784772
                  21             3.21135             3.11422           -0.757732
                  22             3.36427             3.26523           -0.733683
                  23             3.51719             3.41668           -0.712491
                  24             3.67012             3.56846           -0.693829
                  25             3.82304             3.72023            -0.67507
                  26             3.97596             3.87206           -0.656835
                  27             4.12888             4.02385           -0.638336
                  28              4.2818             4.17586           -0.621636
                  29             4.43472              4.3278           -0.604317
                  30             4.58765             4.47968           -0.586544
                  31             4.74057             4.63146           -0.567888
                  32             4.89349             4.78357           -0.552101
                  33             5.04641             4.93591           -0.538766
                  34             5.19933             5.08835           -0.526664
                  35             5.35225             5.24073           -0.513846
                  36             5.50517             5.39315           -0.501391
                  37              5.6581             5.54563           -0.489871
                  38             5.81102             5.69819           -0.479376
                  39             5.96394             5.85075           -0.468817
                  40             6.11686              6.0033           -0.458153
                  41             6.26978             6.15584             -0.4474
                  42              6.4227             6.30843           -0.437363
                  43             6.57563             6.46105           -0.427631
                  44             6.72855             6.61367           -0.418181
                  45             6.88147              6.7663           -0.408635
                  46             7.03439             6.91897           -0.399962
                  47             7.18731              7.0717           -0.392209
                  48             7.34023             7.22446           -0.385132
                  49             7.49315              7.3772           -0.377768
                  50             7.64608             7.52994           -0.370272
                  51               7.799             7.68268           -0.362974
                  52             7.95192             7.83546           -0.356193
                  53             8.10484             7.98823           -0.349581
                  54             8.25776             8.14101           -0.342996
                  55             8.41068              8.2938           -0.336441
                  56             8.56361             8.44659            -0.33021
                  57             8.71653              8.5994            -0.32427
                  58             8.86945             8.75221            -0.31857
                  59             9.02237             8.90503           -0.312933
                  60             9.17529             9.05786           -0.307546
                  61             9.32821             9.21069           -0.302444
                  62             9.48113             9.36354           -0.297609
                  63             9.63406             9.51638           -0.292745
                  64             9.78698             9.66922           -0.287845
                  65              9.9399             9.82207           -0.283011
                  66             10.0928             9.97492            -0.27842
                  67             10.2457             10.1278           -0.273998
                  68             10.3987             10.2806           -0.269662
                  69             10.5516             10.4335            -0.26538
                  70             10.7045             10.5864           -0.261241
                  71             10.8574             10.7392           -0.257261
                  72             11.0103             10.8921           -0.253411
                  73             11.1633              11.045           -0.249625
                  74             11.3162             11.1979           -0.245923
                  75             11.4691             11.3507           -0.242317
                  76              11.622             11.5036            -0.23882
                  77              11.775             11.6565           -0.235363
                  78             11.9279             11.8094           -0.231934
                  79             12.0808             11.9623           -0.228552
                  80             12.2337             12.1152           -0.225281
                  81             12.3866              12.268            -0.22211
                  82             12.5396             12.4209           -0.219003
                  83             12.6925             12.5738            -0.21596
                  84             12.8454             12.7267           -0.212995
                  85             12.9983             12.8796           -0.210121
                  86             13.1513             13.0325           -0.207293
                  87             13.3042             13.1854           -0.204499
                  88             13.4571             13.3383            -0.20174
                  89               13.61             13.4912           -0.199014
                  90             13.7629             13.6441           -0.196333
                  91             13.9159              13.797           -0.193685
                  92             14.0688             13.9499           -0.191069
                  93             14.2217             14.1028           -0.188488
                  94             14.3746             14.2557           -0.185958
                  95             14.5275             14.4086           -0.183483
                  96             14.6805             14.5615           -0.181066
                  97             14.8334             14.7144           -0.178676
                  98             14.9863             14.8673           -0.176338
                  99             15.1392             15.0202           -0.174099
