            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -1.56364
                   1            0.152997            0.148837            -1.52822
                   2            0.305995            0.298149            -1.49482
                   3            0.458992            0.447949            -1.46371
                   4             0.61199            0.595423            -1.42297
                   5            0.764987            0.740473             -1.3743
                   6            0.917984            0.884611            -1.32299
                   7             1.07098             1.02757            -1.26848
                   8             1.22398             1.17211            -1.21831
                   9             1.37698             1.31826            -1.17306
                  10             1.52997             1.46599            -1.13327
                  11             1.68297             1.61392            -1.09423
                  12             1.83597             1.76311            -1.06028
                  13             1.98897             1.91239            -1.02676
                  14             2.14196             2.06291           -0.999337
                  15             2.29496             2.21217           -0.965727
                  16             2.44796             2.36037           -0.927746
                  17             2.60096             2.50818            -0.88822
                  18             2.75395             2.65794            -0.85693
                  19             2.90695             2.80828           -0.828521
                  20             3.05995             2.95872           -0.800649
                  21             3.21294             3.10918           -0.772922
                  22             3.36594              3.2602           -0.748397
                  23             3.51894             3.41168           -0.726924
                  24             3.67194             3.56353           -0.708193
                  25             3.82493             3.71536            -0.68936
                  26             3.97793             3.86726           -0.671067
                  27             4.13093             4.01912           -0.652402
                  28             4.28393             4.17118           -0.635556
                  29             4.43692             4.32316           -0.617947
                  30             4.58992             4.47508           -0.599768
                  31             4.74292             4.62687           -0.580577
                  32             4.89592             4.77901           -0.564406
                  33             5.04891              4.9314           -0.550836
                  34             5.20191             5.08391           -0.538566
                  35             5.35491             5.23635           -0.525521
                  36             5.50791             5.38882           -0.512861
                  37              5.6609             5.54137           -0.501198
                  38              5.8139               5.694           -0.490622
                  39              5.9669             5.84663           -0.479945
                  40              6.1199             5.99924           -0.469117
                  41             6.27289             6.15184           -0.458137
                  42             6.42589              6.3045           -0.447889
                  43             6.57889             6.45717           -0.437931
                  44             6.73188             6.60986           -0.428253
                  45             6.88488             6.76254           -0.418441
                  46             7.03788             6.91528           -0.409562
                  47             7.19088             7.06808           -0.401677
                  48             7.34387             7.22091           -0.394516
                  49             7.49687             7.37372           -0.387028
                  50             7.64987             7.52653           -0.379377
                  51             7.80287             7.67934           -0.371924
                  52             7.95586             7.83218           -0.365017
                  53             8.10886             7.98503           -0.358274
                  54             8.26186             8.13788           -0.351536
                  55             8.41486             8.29073           -0.344805
                  56             8.56785             8.44359           -0.338414
                  57             8.72085             8.59647           -0.332327
                  58             8.87385             8.74936           -0.326493
                  59             9.02685             8.90224           -0.320713
                  60             9.17984             9.05514           -0.315199
                  61             9.33284             9.20805           -0.309991
                  62             9.48584             9.36097           -0.305068
                  63             9.63883             9.51389           -0.300099
                  64             9.79183              9.6668           -0.295074
                  65             9.94483             9.81972           -0.290108
                  66             10.0978             9.97264           -0.285402
                  67             10.2508             10.1256           -0.280871
                  68             10.4038             10.2785           -0.276423
                  69             10.5568             10.4314           -0.272023
                  70             10.7098             10.5844           -0.267772
                  71             10.8628             10.7373           -0.263689
                  72             11.0158             10.8903           -0.259746
                  73             11.1688             11.0432           -0.255862
                  74             11.3218             11.1962           -0.252065
                  75             11.4748             11.3491           -0.248368
                  76             11.6278             11.5021           -0.244786
                  77             11.7808              11.655           -0.241239
                  78             11.9338              11.808           -0.237714
                  79             12.0868             11.9609           -0.234232
                  80             12.2398             12.1139            -0.23087
                  81             12.3928             12.2669           -0.227614
                  82             12.5458             12.4198           -0.224424
                  83             12.6988             12.5728           -0.221295
                  84             12.8518             12.7258           -0.218246
                  85             13.0048             12.8787           -0.215293
                  86             13.1578             13.0317           -0.212389
                  87             13.3108             13.1847           -0.209519
                  88             13.4638             13.3376           -0.206683
                  89             13.6168             13.4906            -0.20388
                  90             13.7698             13.6436           -0.201124
                  91             13.9228             13.7966           -0.198401
                  92             14.0758             13.9495           -0.195709
                  93             14.2288             14.1025           -0.193053
                  94             14.3818             14.2555           -0.190449
                  95             14.5348             14.4085           -0.187904
                  96             14.6877             14.5614           -0.185419
                  97             14.8407             14.7144            -0.18296
                  98             14.9937             14.8674           -0.180555
                  99             15.1467             15.0204           -0.178251
