            Interval               Theta              Radial            Vertical
                   0                   0                   0            -3.66842
                   0                   0                   0            -3.66842
                   1           0.0317333           0.0317279            -3.66892
                   2           0.0634665           0.0634239            -3.67043
                   3           0.0951998            0.095056            -3.67295
                   4            0.126933            0.126592            -3.67647
                   5            0.158666            0.158001            -3.68098
                   6              0.1904            0.189251            -3.68649
                   7            0.222133            0.220311            -3.69299
                   8            0.253866            0.251148            -3.70047
                   9            0.285599            0.281733            -3.70893
                  10            0.317333            0.312033            -3.71835
                  11            0.349066             0.34202            -3.72873
                  12            0.380799            0.371662            -3.74005
                  13            0.412532            0.400931            -3.75231
                  14            0.444266            0.429795            -3.76549
                  15            0.475999            0.458227            -3.77958
                  16            0.507732            0.486197            -3.79457
                  17            0.539465            0.513677            -3.81044
                  18            0.571199            0.540641            -3.82717
                  19            0.602932             0.56706            -3.84474
                  20            0.634665            0.592908            -3.86315
                  21            0.666398            0.618159            -3.88237
                  22            0.698132            0.642788            -3.90238
                  23            0.729865            0.666769            -3.92316
                  24            0.761598            0.690079            -3.94469
                  25            0.793331            0.712694            -3.96695
                  26            0.825065            0.734592            -3.98991
                  27            0.856798             0.75575            -4.01356
                  28            0.888531            0.776146            -4.03787
                  29            0.920265            0.795762            -4.06281
                  30            0.951998            0.814576            -4.08836
                  31            0.983731             0.83257             -4.1145
                  32             1.01546            0.849725            -4.14119
                  33              1.0472            0.866025            -4.16842
                  34             1.07893            0.881453            -4.19615
                  35             1.11066            0.895994            -4.22435
                  36              1.1424            0.909632            -4.25301
                  37             1.17413            0.922354            -4.28208
                  38             1.20586            0.934148            -4.31153
                  39              1.2376            0.945001            -4.34135
                  40             1.26933            0.954902             -4.3715
                  41             1.30106            0.963842            -4.40195
                  42              1.3328            0.971812            -4.43266
                  43             1.36453            0.978802            -4.46361
                  44             1.39626            0.984808            -4.49477
                  45               1.428            0.989821            -4.52611
                  46             1.45973            0.993838            -4.55758
                  47             1.49146            0.996855            -4.58917
                  48              1.5232            0.998867            -4.62084
                  49             1.55493            0.999874            -4.65255
                  50             1.58666            0.999874            -4.68429
                  51              1.6184            0.998867              -4.716
                  52             1.65013            0.996855            -4.74767
                  53             1.68186            0.993838            -4.77926
                  54              1.7136            0.989821            -4.81074
                  55             1.74533            0.984808            -4.84207
                  56             1.77706            0.978802            -4.87323
                  57              1.8088            0.971812            -4.90418
                  58             1.84053            0.963842            -4.93489
                  59             1.87226            0.954902            -4.96534
                  60               1.904            0.945001            -4.99549
                  61             1.93573            0.934148            -5.02531
                  62             1.96746            0.922354            -5.05477
                  63              1.9992            0.909632            -5.08384
                  64             2.03093            0.895994            -5.11249
                  65             2.06266            0.881453            -5.14069
                  66              2.0944            0.866025            -5.16842
                  67             2.12613            0.849725            -5.19565
                  68             2.15786             0.83257            -5.22234
                  69             2.18959            0.814576            -5.24848
                  70             2.22133            0.795762            -5.27403
                  71             2.25306            0.776146            -5.29897
                  72             2.28479             0.75575            -5.32328
                  73             2.31653            0.734592            -5.34693
                  74             2.34826            0.712694             -5.3699
                  75             2.37999            0.690079            -5.39215
                  76             2.41173            0.666769            -5.41368
                  77             2.44346            0.642788            -5.43446
                  78             2.47519            0.618159            -5.45447
                  79             2.50693            0.592908            -5.47369
                  80             2.53866             0.56706             -5.4921
                  81             2.57039            0.540641            -5.50967
                  82             2.60213            0.513677             -5.5264
                  83             2.63386            0.486197            -5.54227
                  84             2.66559            0.458227            -5.55726
                  85             2.69733            0.429795            -5.57135
                  86             2.72906            0.400931            -5.58453
                  87             2.76079            0.371662            -5.59679
                  88             2.79253             0.34202            -5.60811
                  89             2.82426            0.312033            -5.61849
                  90             2.85599            0.281733            -5.62791
                  91             2.88773            0.251148            -5.63637
                  92             2.91946            0.220311            -5.64385
                  93             2.95119            0.189251            -5.65035
                  94             2.98293            0.158001            -5.65586
                  95             3.01466            0.126592            -5.66037
                  96             3.04639            0.095056            -5.66389
                  97             3.07813           0.0634239            -5.66641
                  98             3.10986           0.0317279            -5.66792
                  99             3.14159                   0            -5.66842
