            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -0.23449
                   1             0.15429            0.141696           -0.173498
                   2            0.308581            0.296163           -0.171804
                   3            0.462871            0.450235           -0.165036
                   4            0.617161            0.599662           -0.128288
                   5            0.771452            0.747188           -0.175262
                   6            0.925742            0.899003           -0.201125
                   7             1.08003             1.04711           -0.158063
                   8             1.23432             1.19829           -0.188966
                   9             1.38861             1.35133           -0.166091
                  10              1.5429             1.50476           -0.156762
                  11             1.69719             1.65158           -0.204339
                  12             1.85148             1.80551           -0.189214
                  13             2.00577             1.95842           -0.171681
                  14             2.16006             2.10999           -0.196306
                  15             2.31436             2.25748           -0.151303
                  16             2.46865             2.40926           -0.184974
                  17             2.62294             2.56179           -0.202896
                  18             2.77723             2.71325           -0.171988
                  19             2.93152              2.8671           -0.161234
                  20             3.08581             3.02098           -0.145671
                  21              3.2401             3.17302           -0.133624
                  22             3.39439             3.31564           -0.195276
                  23             3.54868             3.46926           -0.209888
                  24             3.70297             3.62272           -0.194357
                  25             3.85726             3.77664           -0.185536
                  26             4.01155             3.92806           -0.155242
                  27             4.16584             4.08204           -0.164468
                  28             4.32013             4.23055           -0.203543
                  29             4.47442             4.38338           -0.178045
                  30             4.62871              4.5368           -0.163535
                  31               4.783             4.68954            -0.14071
                  32             4.93729             4.84356           -0.141992
                  33             5.09158             4.99235            -0.18416
                  34             5.24587             5.14309           -0.214966
                  35             5.40016             5.29545           -0.188918
                  36             5.55445             5.44833           -0.168565
                  37             5.70874             5.60062           -0.144117
                  38             5.86303             5.75378           -0.163095
                  39             6.01732             5.90147           -0.207417
                  40             6.17161             6.05574           -0.211841
                  41              6.3259             6.20737           -0.183523
                  42             6.48019             6.35926           -0.155622
                  43             6.63448             6.51185           -0.135867
                  44             6.78877             6.66321           -0.167782
                  45             6.94307             6.81497           -0.194794
                  46             7.09736             6.96913           -0.187938
                  47             7.25165             7.12046            -0.15808
                  48             7.40594             7.27438            -0.14534
                  49             7.56023             7.42717              -0.164
                  50             7.71452              7.5727             -0.2158
                  51             7.86881             7.72621           -0.230387
                  52              8.0231             7.87696           -0.197144
                  53             8.17739             8.02407           -0.150545
                  54             8.33168             8.17656           -0.127869
                  55             8.48597             8.32837           -0.156214
                  56             8.64026             8.47631           -0.199453
                  57             8.79455             8.63069           -0.198999
                  58             8.94884             8.78185           -0.168015
                  59             9.10313             8.93331           -0.139167
                  60             9.25742             9.08686           -0.154875
                  61             9.41171             9.23532            -0.19706
                  62               9.566             9.38648           -0.227488
                  63             9.72029             9.53833           -0.199673
                  64             9.87458             9.68689           -0.158101
                  65             10.0289             9.83947           -0.135201
                  66             10.1832             9.99077           -0.165468
                  67             10.3375             10.1386           -0.209535
                  68             10.4917             10.2926           -0.219358
                  69              10.646             10.4431           -0.185634
                  70             10.8003             10.5931           -0.149492
                  71             10.9546             10.7474           -0.146503
                  72             11.1089             10.8977           -0.181531
                  73             11.2632             11.0485           -0.214212
                  74             11.4175             11.2027           -0.209858
                  75             11.5718             11.3533           -0.176628
                  76             11.7261             11.5065           -0.157731
                  77             11.8804             11.6601           -0.172303
                  78             12.0346             11.8102           -0.207805
                  79             12.1889             11.9643           -0.214737
                  80             12.3432             12.1159           -0.185641
                  81             12.4975             12.2652            -0.14694
                  82             12.6518             12.4192           -0.137273
                  83             12.8061             12.5715           -0.162146
                  84             12.9604             12.7223           -0.194693
                  85             13.1147             12.8765           -0.200369
                  86              13.269             13.0299            -0.18389
                  87             13.4233             13.1835           -0.170039
                  88             13.5775             13.3375           -0.180639
                  89             13.7318             13.4898           -0.204866
                  90             13.8861             13.6433            -0.22052
                  91             14.0404             13.7972           -0.209104
                  92             14.1947             13.9504           -0.190646
                  93              14.349             14.1046           -0.186574
                  94             14.5033             14.2574           -0.207889
                  95             14.6576               14.41           -0.231112
                  96             14.8119             14.5642           -0.235879
                  97             14.9662             14.7177           -0.220106
                  98             15.1205             14.8712           -0.204985
                  99             15.2747             15.0255            -0.20241
