            Interval               Theta              Radial            Vertical
                   0                   0                   0            -3.35812
                   0                   0                   0            -3.35812
                   1           0.0317333           0.0317279            -3.35863
                   2           0.0634665           0.0634239            -3.36014
                   3           0.0951998            0.095056            -3.36265
                   4            0.126933            0.126592            -3.36617
                   5            0.158666            0.158001            -3.37068
                   6              0.1904            0.189251            -3.37619
                   7            0.222133            0.220311            -3.38269
                   8            0.253866            0.251148            -3.39017
                   9            0.285599            0.281733            -3.39863
                  10            0.317333            0.312033            -3.40805
                  11            0.349066             0.34202            -3.41843
                  12            0.380799            0.371662            -3.42975
                  13            0.412532            0.400931            -3.44201
                  14            0.444266            0.429795             -3.4552
                  15            0.475999            0.458227            -3.46929
                  16            0.507732            0.486197            -3.48427
                  17            0.539465            0.513677            -3.50014
                  18            0.571199            0.540641            -3.51687
                  19            0.602932             0.56706            -3.53445
                  20            0.634665            0.592908            -3.55285
                  21            0.666398            0.618159            -3.57207
                  22            0.698132            0.642788            -3.59208
                  23            0.729865            0.666769            -3.61286
                  24            0.761598            0.690079            -3.63439
                  25            0.793331            0.712694            -3.65665
                  26            0.825065            0.734592            -3.67961
                  27            0.856798             0.75575            -3.70326
                  28            0.888531            0.776146            -3.72757
                  29            0.920265            0.795762            -3.75251
                  30            0.951998            0.814576            -3.77807
                  31            0.983731             0.83257             -3.8042
                  32             1.01546            0.849725             -3.8309
                  33              1.0472            0.866025            -3.85812
                  34             1.07893            0.881453            -3.88585
                  35             1.11066            0.895994            -3.91406
                  36              1.1424            0.909632            -3.94271
                  37             1.17413            0.922354            -3.97178
                  38             1.20586            0.934148            -4.00124
                  39              1.2376            0.945001            -4.03105
                  40             1.26933            0.954902             -4.0612
                  41             1.30106            0.963842            -4.09165
                  42              1.3328            0.971812            -4.12236
                  43             1.36453            0.978802            -4.15332
                  44             1.39626            0.984808            -4.18447
                  45               1.428            0.989821            -4.21581
                  46             1.45973            0.993838            -4.24728
                  47             1.49146            0.996855            -4.27887
                  48              1.5232            0.998867            -4.31054
                  49             1.55493            0.999874            -4.34226
                  50             1.58666            0.999874            -4.37399
                  51              1.6184            0.998867             -4.4057
                  52             1.65013            0.996855            -4.43737
                  53             1.68186            0.993838            -4.46896
                  54              1.7136            0.989821            -4.50044
                  55             1.74533            0.984808            -4.53177
                  56             1.77706            0.978802            -4.56293
                  57              1.8088            0.971812            -4.59388
                  58             1.84053            0.963842             -4.6246
                  59             1.87226            0.954902            -4.65504
                  60               1.904            0.945001            -4.68519
                  61             1.93573            0.934148            -4.71501
                  62             1.96746            0.922354            -4.74447
                  63              1.9992            0.909632            -4.77354
                  64             2.03093            0.895994            -4.80219
                  65             2.06266            0.881453            -4.83039
                  66              2.0944            0.866025            -4.85812
                  67             2.12613            0.849725            -4.88535
                  68             2.15786             0.83257            -4.91204
                  69             2.18959            0.814576            -4.93818
                  70             2.22133            0.795762            -4.96373
                  71             2.25306            0.776146            -4.98867
                  72             2.28479             0.75575            -5.01298
                  73             2.31653            0.734592            -5.03663
                  74             2.34826            0.712694             -5.0596
                  75             2.37999            0.690079            -5.08186
                  76             2.41173            0.666769            -5.10339
                  77             2.44346            0.642788            -5.12417
                  78             2.47519            0.618159            -5.14418
                  79             2.50693            0.592908            -5.16339
                  80             2.53866             0.56706             -5.1818
                  81             2.57039            0.540641            -5.19938
                  82             2.60213            0.513677            -5.21611
                  83             2.63386            0.486197            -5.23197
                  84             2.66559            0.458227            -5.24696
                  85             2.69733            0.429795            -5.26105
                  86             2.72906            0.400931            -5.27423
                  87             2.76079            0.371662            -5.28649
                  88             2.79253             0.34202            -5.29781
                  89             2.82426            0.312033            -5.30819
                  90             2.85599            0.281733            -5.31762
                  91             2.88773            0.251148            -5.32607
                  92             2.91946            0.220311            -5.33355
                  93             2.95119            0.189251            -5.34005
                  94             2.98293            0.158001            -5.34556
                  95             3.01466            0.126592            -5.35008
                  96             3.04639            0.095056            -5.35359
                  97             3.07813           0.0634239            -5.35611
                  98             3.10986           0.0317279            -5.35762
                  99             3.14159                   0            -5.35812
