            Interval               Theta              Radial            Vertical
                   0                   0                   0             0.92075
                   0                   0                   0             0.92075
                   1           0.0317333           0.0317279            0.920246
                   2           0.0634665           0.0634239            0.918736
                   3           0.0951998            0.095056            0.916222
                   4            0.126933            0.126592            0.912705
                   5            0.158666            0.158001            0.908189
                   6              0.1904            0.189251            0.902678
                   7            0.222133            0.220311            0.896179
                   8            0.253866            0.251148            0.888698
                   9            0.285599            0.281733            0.880243
                  10            0.317333            0.312033            0.870821
                  11            0.349066             0.34202            0.860442
                  12            0.380799            0.371662            0.849118
                  13            0.412532            0.400931            0.836858
                  14            0.444266            0.429795            0.823676
                  15            0.475999            0.458227            0.809585
                  16            0.507732            0.486197            0.794599
                  17            0.539465            0.513677            0.778733
                  18            0.571199            0.540641            0.762003
                  19            0.602932             0.56706            0.744426
                  20            0.634665            0.592908             0.72602
                  21            0.666398            0.618159            0.706803
                  22            0.698132            0.642788            0.686794
                  23            0.729865            0.666769            0.666014
                  24            0.761598            0.690079            0.644484
                  25            0.793331            0.712694            0.622225
                  26            0.825065            0.734592            0.599259
                  27            0.856798             0.75575             0.57561
                  28            0.888531            0.776146            0.551302
                  29            0.920265            0.795762            0.526359
                  30            0.951998            0.814576            0.500807
                  31            0.983731             0.83257             0.47467
                  32             1.01546            0.849725            0.447975
                  33              1.0472            0.866025             0.42075
                  34             1.07893            0.881453            0.393021
                  35             1.11066            0.895994            0.364816
                  36              1.1424            0.909632            0.336165
                  37             1.17413            0.922354            0.307095
                  38             1.20586            0.934148            0.277636
                  39              1.2376            0.945001            0.247818
                  40             1.26933            0.954902             0.21767
                  41             1.30106            0.963842            0.187224
                  42              1.3328            0.971812            0.156509
                  43             1.36453            0.978802            0.125556
                  44             1.39626            0.984808           0.0943979
                  45               1.428            0.989821           0.0630646
                  46             1.45973            0.993838           0.0315879
                  47             1.49146            0.996855        -3.30898e-07
                  48              1.5232            0.998867          -0.0316684
                  49             1.55493            0.999874          -0.0633843
                  50             1.58666            0.999874          -0.0951163
                  51              1.6184            0.998867           -0.126832
                  52             1.65013            0.996855             -0.1585
                  53             1.68186            0.993838           -0.190088
                  54              1.7136            0.989821           -0.221565
                  55             1.74533            0.984808           -0.252898
                  56             1.77706            0.978802           -0.284057
                  57              1.8088            0.971812           -0.315009
                  58             1.84053            0.963842           -0.345724
                  59             1.87226            0.954902           -0.376171
                  60               1.904            0.945001           -0.406318
                  61             1.93573            0.934148           -0.436137
                  62             1.96746            0.922354           -0.465595
                  63              1.9992            0.909632           -0.494665
                  64             2.03093            0.895994           -0.523317
                  65             2.06266            0.881453           -0.551521
                  66              2.0944            0.866025            -0.57925
                  67             2.12613            0.849725           -0.606476
                  68             2.15786             0.83257            -0.63317
                  69             2.18959            0.814576           -0.659307
                  70             2.22133            0.795762            -0.68486
                  71             2.25306            0.776146           -0.709803
                  72             2.28479             0.75575           -0.734111
                  73             2.31653            0.734592            -0.75776
                  74             2.34826            0.712694           -0.780725
                  75             2.37999            0.690079           -0.802984
                  76             2.41173            0.666769           -0.824515
                  77             2.44346            0.642788           -0.845295
                  78             2.47519            0.618159           -0.865303
                  79             2.50693            0.592908           -0.884521
                  80             2.53866             0.56706           -0.902927
                  81             2.57039            0.540641           -0.920504
                  82             2.60213            0.513677           -0.937234
                  83             2.63386            0.486197             -0.9531
                  84             2.66559            0.458227           -0.968086
                  85             2.69733            0.429795           -0.982177
                  86             2.72906            0.400931           -0.995359
                  87             2.76079            0.371662            -1.00762
                  88             2.79253             0.34202            -1.01894
                  89             2.82426            0.312033            -1.02932
                  90             2.85599            0.281733            -1.03874
                  91             2.88773            0.251148             -1.0472
                  92             2.91946            0.220311            -1.05468
                  93             2.95119            0.189251            -1.06118
                  94             2.98293            0.158001            -1.06669
                  95             3.01466            0.126592            -1.07121
                  96             3.04639            0.095056            -1.07472
                  97             3.07813           0.0634239            -1.07724
                  98             3.10986           0.0317279            -1.07875
                  99             3.14159                   0            -1.07925
