           iteration                time              height            velocity
                 167                1.67             1.33754           -0.993068
                 168                1.68             1.32761           -0.993037
                 169                1.69             1.31768           -0.993006
                 170                 1.7             1.30775           -0.992975
                 171                1.71             1.29782           -0.992944
                 172                1.72             1.28789           -0.992913
                 173                1.73             1.27796           -0.992882
                 174                1.74             1.26803            -0.99285
                 175                1.75              1.2581           -0.992819
                 176                1.76             1.24817           -0.992788
                 177                1.77             1.23824           -0.992757
                 178                1.78             1.22832           -0.992726
                 179                1.79             1.21839           -0.992694
                 180                 1.8             1.20846           -0.992663
                 181                1.81             1.19854           -0.992631
                 182                1.82             1.18861             -0.9926
                 183                1.83             1.17868           -0.992569
                 184                1.84             1.16876           -0.992537
                 185                1.85             1.15883           -0.992506
                 186                1.86             1.14891           -0.992474
                 187                1.87             1.13898           -0.992442
                 188                1.88             1.12906           -0.992411
                 189                1.89             1.11913           -0.992379
                 190                 1.9             1.10921           -0.992347
                 191                1.91             1.09929           -0.992316
                 192                1.92             1.08936           -0.992284
                 193                1.93             1.07944           -0.992252
                 194                1.94             1.06952            -0.99222
                 195                1.95              1.0596           -0.992188
                 196                1.96             1.04967           -0.992156
                 197                1.97             1.03975           -0.992124
                 198                1.98             1.02983           -0.992092
                 199                1.99             1.01991            -0.99206
                 200                   2             1.00999           -0.992028
                 201                2.01             1.00007           -0.991996
                 202                2.02            0.990149           -0.991964
                 203                2.03             0.98023           -0.991932
                 204                2.04            0.970311             -0.9919
                 205                2.05            0.960392           -0.991867
                 206                2.06            0.950473           -0.991835
                 207                2.07            0.940555           -0.991803
                 208                2.08            0.930636            -0.99177
                 209                2.09            0.920719           -0.991738
                 210                 2.1            0.910801           -0.991706
                 211                2.11            0.900884           -0.991673
                 212                2.12            0.890968           -0.991641
                 213                2.13            0.881051           -0.991608
                 214                2.14            0.871135           -0.991576
                 215                2.15            0.861219           -0.991543
                 216                2.16            0.851304            -0.99151
                 217                2.17            0.841389           -0.991478
                 218                2.18            0.831474           -0.991445
                 219                2.19             0.82156           -0.991412
                 220                 2.2            0.811645            -0.99138
                 221                2.21            0.801732           -0.991347
                 222                2.22            0.791818           -0.991314
