            Interval               Theta              Radial            Vertical
                   0                   0                   0             0.38911
                   0                   0                   0             0.38911
                   1           0.0317333           0.0317279            0.388607
                   2           0.0634665           0.0634239            0.387097
                   3           0.0951998            0.095056            0.384582
                   4            0.126933            0.126592            0.381065
                   5            0.158666            0.158001            0.376549
                   6              0.1904            0.189251            0.371039
                   7            0.222133            0.220311             0.36454
                   8            0.253866            0.251148            0.357059
                   9            0.285599            0.281733            0.348603
                  10            0.317333            0.312033            0.339181
                  11            0.349066             0.34202            0.328803
                  12            0.380799            0.371662            0.317478
                  13            0.412532            0.400931            0.305218
                  14            0.444266            0.429795            0.292037
                  15            0.475999            0.458227            0.277945
                  16            0.507732            0.486197            0.262959
                  17            0.539465            0.513677            0.247093
                  18            0.571199            0.540641            0.230364
                  19            0.602932             0.56706            0.212787
                  20            0.634665            0.592908             0.19438
                  21            0.666398            0.618159            0.175163
                  22            0.698132            0.642788            0.155154
                  23            0.729865            0.666769            0.134374
                  24            0.761598            0.690079            0.112844
                  25            0.793331            0.712694           0.0905849
                  26            0.825065            0.734592           0.0676194
                  27            0.856798             0.75575           0.0439708
                  28            0.888531            0.776146           0.0196627
                  29            0.920265            0.795762         -0.00528029
                  30            0.951998            0.814576          -0.0308331
                  31            0.983731             0.83257          -0.0569699
                  32             1.01546            0.849725          -0.0836645
                  33              1.0472            0.866025            -0.11089
                  34             1.07893            0.881453           -0.138619
                  35             1.11066            0.895994           -0.166823
                  36              1.1424            0.909632           -0.195475
                  37             1.17413            0.922354           -0.224545
                  38             1.20586            0.934148           -0.254004
                  39              1.2376            0.945001           -0.283822
                  40             1.26933            0.954902            -0.31397
                  41             1.30106            0.963842           -0.344416
                  42              1.3328            0.971812           -0.375131
                  43             1.36453            0.978802           -0.406083
                  44             1.39626            0.984808           -0.437242
                  45               1.428            0.989821           -0.468575
                  46             1.45973            0.993838           -0.500052
                  47             1.49146            0.996855            -0.53164
                  48              1.5232            0.998867           -0.563308
                  49             1.55493            0.999874           -0.595024
                  50             1.58666            0.999874           -0.626756
                  51              1.6184            0.998867           -0.658472
                  52             1.65013            0.996855            -0.69014
                  53             1.68186            0.993838           -0.721728
                  54              1.7136            0.989821           -0.753205
                  55             1.74533            0.984808           -0.784538
                  56             1.77706            0.978802           -0.815697
                  57              1.8088            0.971812           -0.846649
                  58             1.84053            0.963842           -0.877364
                  59             1.87226            0.954902            -0.90781
                  60               1.904            0.945001           -0.937958
                  61             1.93573            0.934148           -0.967776
                  62             1.96746            0.922354           -0.997235
                  63              1.9992            0.909632             -1.0263
                  64             2.03093            0.895994            -1.05496
                  65             2.06266            0.881453            -1.08316
                  66              2.0944            0.866025            -1.11089
                  67             2.12613            0.849725            -1.13812
                  68             2.15786             0.83257            -1.16481
                  69             2.18959            0.814576            -1.19095
                  70             2.22133            0.795762             -1.2165
                  71             2.25306            0.776146            -1.24144
                  72             2.28479             0.75575            -1.26575
                  73             2.31653            0.734592             -1.2894
                  74             2.34826            0.712694            -1.31236
                  75             2.37999            0.690079            -1.33462
                  76             2.41173            0.666769            -1.35615
                  77             2.44346            0.642788            -1.37693
                  78             2.47519            0.618159            -1.39694
                  79             2.50693            0.592908            -1.41616
                  80             2.53866             0.56706            -1.43457
                  81             2.57039            0.540641            -1.45214
                  82             2.60213            0.513677            -1.46887
                  83             2.63386            0.486197            -1.48474
                  84             2.66559            0.458227            -1.49973
                  85             2.69733            0.429795            -1.51382
                  86             2.72906            0.400931              -1.527
                  87             2.76079            0.371662            -1.53926
                  88             2.79253             0.34202            -1.55058
                  89             2.82426            0.312033            -1.56096
                  90             2.85599            0.281733            -1.57038
                  91             2.88773            0.251148            -1.57884
                  92             2.91946            0.220311            -1.58632
                  93             2.95119            0.189251            -1.59282
                  94             2.98293            0.158001            -1.59833
                  95             3.01466            0.126592            -1.60284
                  96             3.04639            0.095056            -1.60636
                  97             3.07813           0.0634239            -1.60888
                  98             3.10986           0.0317279            -1.61039
                  99             3.14159                   0            -1.61089
