            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -1.44138
                   1            0.153132            0.153067             -1.4369
                   2            0.306265            0.305805            -1.42592
                   3            0.459397            0.457942            -1.40848
                   4             0.61253             0.60921            -1.38466
                   5            0.765662            0.759415            -1.35486
                   6            0.918794            0.908435            -1.31961
                   7             1.07193             1.05623            -1.27953
                   8             1.22506             1.20284            -1.23533
                   9             1.37819             1.34841             -1.1878
                  10             1.53132             1.49314            -1.13776
                  11             1.68446             1.63728            -1.08606
                  12             1.83759             1.78113            -1.03356
                  13             1.99072             1.92498           -0.981064
                  14             2.14385             2.06911           -0.929318
                  15             2.29699             2.21373           -0.878967
                  16             2.45012               2.359            -0.83054
                  17             2.60325             2.50503           -0.784431
                  18             2.75638             2.65184           -0.740907
                  19             2.90952             2.79944           -0.700107
                  20             3.06265             2.94777           -0.662068
                  21             3.21578             3.09677           -0.626744
                  22             3.36891             3.24637           -0.594034
                  23             3.52204             3.39649           -0.563797
                  24             3.67518             3.54705           -0.535871
                  25             3.82831               3.698           -0.510083
                  26             3.98144             3.84927           -0.486262
                  27             4.13457             4.00081           -0.464242
                  28             4.28771             4.15258           -0.443865
                  29             4.44084             4.30454           -0.424984
                  30             4.59397             4.45667           -0.407464
                  31              4.7471             4.60893           -0.391184
                  32             4.90024             4.76132           -0.376029
                  33             5.05337             4.91379           -0.361901
                  34              5.2065             5.06636           -0.348707
                  35             5.35963             5.21899           -0.336366
                  36             5.51277             5.37169           -0.324803
                  37              5.6659             5.52443           -0.313953
                  38             5.81903             5.67723           -0.303757
                  39             5.97216             5.83006           -0.294159
                  40              6.1253             5.98292           -0.285113
                  41             6.27843             6.13582           -0.276574
                  42             6.43156             6.28874           -0.268504
                  43             6.58469             6.44168           -0.260866
                  44             6.73782             6.59464            -0.25363
                  45             6.89096             6.74762           -0.246764
                  46             7.04409             6.90061           -0.240244
                  47             7.19722             7.05362           -0.234044
                  48             7.35035             7.20664           -0.228143
                  49             7.50349             7.35967           -0.222521
                  50             7.65662             7.51271           -0.217159
                  51             7.80975             7.66575           -0.212041
                  52             7.96288             7.81881           -0.207151
                  53             8.11602             7.97187           -0.202474
                  54             8.26915             8.12493           -0.197999
                  55             8.42228             8.27801           -0.193712
                  56             8.57541             8.43108           -0.189604
                  57             8.72855             8.58417           -0.185663
                  58             8.88168             8.73725            -0.18188
                  59             9.03481             8.89034           -0.178246
                  60             9.18794             9.04343           -0.174754
                  61             9.34108             9.19653           -0.171395
                  62             9.49421             9.34963           -0.168163
                  63             9.64734             9.50273           -0.165051
                  64             9.80047             9.65583           -0.162052
                  65              9.9536             9.80894           -0.159163
                  66             10.1067             9.96204           -0.156376
                  67             10.2599             10.1152           -0.153687
                  68              10.413             10.2683           -0.151092
                  69             10.5661             10.4214           -0.148586
                  70             10.7193             10.5745           -0.146165
                  71             10.8724             10.7276           -0.143826
                  72             11.0255             10.8807           -0.141564
                  73             11.1787             11.0338           -0.139376
                  74             11.3318              11.187            -0.13726
                  75             11.4849             11.3401           -0.135212
                  76             11.6381             11.4932           -0.133229
                  77             11.7912             11.6463            -0.13131
                  78             11.9443             11.7994           -0.129451
                  79             12.0975             11.9526            -0.12765
                  80             12.2506             12.1057           -0.125906
                  81             12.4037             12.2588           -0.124215
                  82             12.5569             12.4119           -0.122577
                  83               12.71              12.565            -0.12099
                  84             12.8631             12.7182           -0.119451
                  85             13.0163             12.8713           -0.117961
                  86             13.1694             13.0244           -0.116516
                  87             13.3225             13.1775           -0.115115
                  88             13.4756             13.3307           -0.113759
                  89             13.6288             13.4838           -0.112444
                  90             13.7819             13.6369           -0.111171
                  91              13.935             13.7901            -0.10994
                  92             14.0882             13.9432           -0.108749
                  93             14.2413             14.0963           -0.107599
                  94             14.3944             14.2494           -0.106491
                  95             14.5476             14.4026           -0.105425
                  96             14.7007             14.5557           -0.104403
                  97             14.8538             14.7088           -0.103429
                  98              15.007              14.862           -0.102512
                  99             15.1601             15.0151           -0.101676
