            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.53882
                   0                   0                   0             1.53882
                   1           0.0317333           0.0317279             1.53831
                   2           0.0634665           0.0634239              1.5368
                   3           0.0951998            0.095056             1.53429
                   4            0.126933            0.126592             1.53077
                   5            0.158666            0.158001             1.52625
                   6              0.1904            0.189251             1.52074
                   7            0.222133            0.220311             1.51424
                   8            0.253866            0.251148             1.50676
                   9            0.285599            0.281733             1.49831
                  10            0.317333            0.312033             1.48889
                  11            0.349066             0.34202             1.47851
                  12            0.380799            0.371662             1.46718
                  13            0.412532            0.400931             1.45492
                  14            0.444266            0.429795             1.44174
                  15            0.475999            0.458227             1.42765
                  16            0.507732            0.486197             1.41266
                  17            0.539465            0.513677              1.3968
                  18            0.571199            0.540641             1.38007
                  19            0.602932             0.56706             1.36249
                  20            0.634665            0.592908             1.34409
                  21            0.666398            0.618159             1.32487
                  22            0.698132            0.642788             1.30486
                  23            0.729865            0.666769             1.28408
                  24            0.761598            0.690079             1.26255
                  25            0.793331            0.712694             1.24029
                  26            0.825065            0.734592             1.21732
                  27            0.856798             0.75575             1.19368
                  28            0.888531            0.776146             1.16937
                  29            0.920265            0.795762             1.14442
                  30            0.951998            0.814576             1.11887
                  31            0.983731             0.83257             1.09274
                  32             1.01546            0.849725             1.06604
                  33              1.0472            0.866025             1.03882
                  34             1.07893            0.881453             1.01109
                  35             1.11066            0.895994            0.982882
                  36              1.1424            0.909632             0.95423
                  37             1.17413            0.922354             0.92516
                  38             1.20586            0.934148            0.895701
                  39              1.2376            0.945001            0.865883
                  40             1.26933            0.954902            0.835735
                  41             1.30106            0.963842            0.805289
                  42              1.3328            0.971812            0.774574
                  43             1.36453            0.978802            0.743622
                  44             1.39626            0.984808            0.712463
                  45               1.428            0.989821             0.68113
                  46             1.45973            0.993838            0.649653
                  47             1.49146            0.996855            0.618065
                  48              1.5232            0.998867            0.586397
                  49             1.55493            0.999874            0.554681
                  50             1.58666            0.999874            0.522949
                  51              1.6184            0.998867            0.491233
                  52             1.65013            0.996855            0.459565
                  53             1.68186            0.993838            0.427977
                  54              1.7136            0.989821              0.3965
                  55             1.74533            0.984808            0.365167
                  56             1.77706            0.978802            0.334008
                  57              1.8088            0.971812            0.303056
                  58             1.84053            0.963842            0.272341
                  59             1.87226            0.954902            0.241895
                  60               1.904            0.945001            0.211747
                  61             1.93573            0.934148            0.181929
                  62             1.96746            0.922354             0.15247
                  63              1.9992            0.909632              0.1234
                  64             2.03093            0.895994           0.0947485
                  65             2.06266            0.881453            0.066544
                  66              2.0944            0.866025           0.0388151
                  67             2.12613            0.849725           0.0115896
                  68             2.15786             0.83257           -0.015105
                  69             2.18959            0.814576          -0.0412418
                  70             2.22133            0.795762          -0.0667946
                  71             2.25306            0.776146          -0.0917376
                  72             2.28479             0.75575           -0.116046
                  73             2.31653            0.734592           -0.139694
                  74             2.34826            0.712694            -0.16266
                  75             2.37999            0.690079           -0.184919
                  76             2.41173            0.666769           -0.206449
                  77             2.44346            0.642788           -0.227229
                  78             2.47519            0.618159           -0.247238
                  79             2.50693            0.592908           -0.266455
                  80             2.53866             0.56706           -0.284861
                  81             2.57039            0.540641           -0.302438
                  82             2.60213            0.513677           -0.319168
                  83             2.63386            0.486197           -0.335034
                  84             2.66559            0.458227            -0.35002
                  85             2.69733            0.429795           -0.364111
                  86             2.72906            0.400931           -0.377293
                  87             2.76079            0.371662           -0.389553
                  88             2.79253             0.34202           -0.400878
                  89             2.82426            0.312033           -0.411256
                  90             2.85599            0.281733           -0.420678
                  91             2.88773            0.251148           -0.429134
                  92             2.91946            0.220311           -0.436615
                  93             2.95119            0.189251           -0.443114
                  94             2.98293            0.158001           -0.448624
                  95             3.01466            0.126592            -0.45314
                  96             3.04639            0.095056           -0.456657
                  97             3.07813           0.0634239           -0.459172
                  98             3.10986           0.0317279           -0.460681
                  99             3.14159                   0           -0.461185
