            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.19311
                   0                   0                   0            -2.19311
                   1           0.0317333           0.0317279            -2.19361
                   2           0.0634665           0.0634239            -2.19512
                   3           0.0951998            0.095056            -2.19763
                   4            0.126933            0.126592            -2.20115
                   5            0.158666            0.158001            -2.20567
                   6              0.1904            0.189251            -2.21118
                   7            0.222133            0.220311            -2.21768
                   8            0.253866            0.251148            -2.22516
                   9            0.285599            0.281733            -2.23361
                  10            0.317333            0.312033            -2.24303
                  11            0.349066             0.34202            -2.25341
                  12            0.380799            0.371662            -2.26474
                  13            0.412532            0.400931              -2.277
                  14            0.444266            0.429795            -2.29018
                  15            0.475999            0.458227            -2.30427
                  16            0.507732            0.486197            -2.31926
                  17            0.539465            0.513677            -2.33512
                  18            0.571199            0.540641            -2.35185
                  19            0.602932             0.56706            -2.36943
                  20            0.634665            0.592908            -2.38784
                  21            0.666398            0.618159            -2.40705
                  22            0.698132            0.642788            -2.42706
                  23            0.729865            0.666769            -2.44784
                  24            0.761598            0.690079            -2.46937
                  25            0.793331            0.712694            -2.49163
                  26            0.825065            0.734592             -2.5146
                  27            0.856798             0.75575            -2.53824
                  28            0.888531            0.776146            -2.56255
                  29            0.920265            0.795762             -2.5875
                  30            0.951998            0.814576            -2.61305
                  31            0.983731             0.83257            -2.63919
                  32             1.01546            0.849725            -2.66588
                  33              1.0472            0.866025            -2.69311
                  34             1.07893            0.881453            -2.72083
                  35             1.11066            0.895994            -2.74904
                  36              1.1424            0.909632            -2.77769
                  37             1.17413            0.922354            -2.80676
                  38             1.20586            0.934148            -2.83622
                  39              1.2376            0.945001            -2.86604
                  40             1.26933            0.954902            -2.89618
                  41             1.30106            0.963842            -2.92663
                  42              1.3328            0.971812            -2.95735
                  43             1.36453            0.978802             -2.9883
                  44             1.39626            0.984808            -3.01946
                  45               1.428            0.989821            -3.05079
                  46             1.45973            0.993838            -3.08227
                  47             1.49146            0.996855            -3.11386
                  48              1.5232            0.998867            -3.14552
                  49             1.55493            0.999874            -3.17724
                  50             1.58666            0.999874            -3.20897
                  51              1.6184            0.998867            -3.24069
                  52             1.65013            0.996855            -3.27236
                  53             1.68186            0.993838            -3.30394
                  54              1.7136            0.989821            -3.33542
                  55             1.74533            0.984808            -3.36675
                  56             1.77706            0.978802            -3.39791
                  57              1.8088            0.971812            -3.42886
                  58             1.84053            0.963842            -3.45958
                  59             1.87226            0.954902            -3.49003
                  60               1.904            0.945001            -3.52017
                  61             1.93573            0.934148            -3.54999
                  62             1.96746            0.922354            -3.57945
                  63              1.9992            0.909632            -3.60852
                  64             2.03093            0.895994            -3.63717
                  65             2.06266            0.881453            -3.66538
                  66              2.0944            0.866025            -3.69311
                  67             2.12613            0.849725            -3.72033
                  68             2.15786             0.83257            -3.74703
                  69             2.18959            0.814576            -3.77316
                  70             2.22133            0.795762            -3.79872
                  71             2.25306            0.776146            -3.82366
                  72             2.28479             0.75575            -3.84797
                  73             2.31653            0.734592            -3.87161
                  74             2.34826            0.712694            -3.89458
                  75             2.37999            0.690079            -3.91684
                  76             2.41173            0.666769            -3.93837
                  77             2.44346            0.642788            -3.95915
                  78             2.47519            0.618159            -3.97916
                  79             2.50693            0.592908            -3.99838
                  80             2.53866             0.56706            -4.01678
                  81             2.57039            0.540641            -4.03436
                  82             2.60213            0.513677            -4.05109
                  83             2.63386            0.486197            -4.06695
                  84             2.66559            0.458227            -4.08194
                  85             2.69733            0.429795            -4.09603
                  86             2.72906            0.400931            -4.10921
                  87             2.76079            0.371662            -4.12147
                  88             2.79253             0.34202             -4.1328
                  89             2.82426            0.312033            -4.14318
                  90             2.85599            0.281733             -4.1526
                  91             2.88773            0.251148            -4.16105
                  92             2.91946            0.220311            -4.16854
                  93             2.95119            0.189251            -4.17503
                  94             2.98293            0.158001            -4.18054
                  95             3.01466            0.126592            -4.18506
                  96             3.04639            0.095056            -4.18858
                  97             3.07813           0.0634239            -4.19109
                  98             3.10986           0.0317279             -4.1926
                  99             3.14159                   0            -4.19311
