            Interval               Theta              Radial            Vertical
                   0                   0                   0            -3.85642
                   0                   0                   0            -3.85642
                   1           0.0317333           0.0317279            -3.85693
                   2           0.0634665           0.0634239            -3.85844
                   3           0.0951998            0.095056            -3.86095
                   4            0.126933            0.126592            -3.86447
                   5            0.158666            0.158001            -3.86898
                   6              0.1904            0.189251            -3.87449
                   7            0.222133            0.220311            -3.88099
                   8            0.253866            0.251148            -3.88847
                   9            0.285599            0.281733            -3.89693
                  10            0.317333            0.312033            -3.90635
                  11            0.349066             0.34202            -3.91673
                  12            0.380799            0.371662            -3.92805
                  13            0.412532            0.400931            -3.94031
                  14            0.444266            0.429795             -3.9535
                  15            0.475999            0.458227            -3.96759
                  16            0.507732            0.486197            -3.98257
                  17            0.539465            0.513677            -3.99844
                  18            0.571199            0.540641            -4.01517
                  19            0.602932             0.56706            -4.03275
                  20            0.634665            0.592908            -4.05115
                  21            0.666398            0.618159            -4.07037
                  22            0.698132            0.642788            -4.09038
                  23            0.729865            0.666769            -4.11116
                  24            0.761598            0.690079            -4.13269
                  25            0.793331            0.712694            -4.15495
                  26            0.825065            0.734592            -4.17791
                  27            0.856798             0.75575            -4.20156
                  28            0.888531            0.776146            -4.22587
                  29            0.920265            0.795762            -4.25081
                  30            0.951998            0.814576            -4.27637
                  31            0.983731             0.83257             -4.3025
                  32             1.01546            0.849725             -4.3292
                  33              1.0472            0.866025            -4.35642
                  34             1.07893            0.881453            -4.38415
                  35             1.11066            0.895994            -4.41236
                  36              1.1424            0.909632            -4.44101
                  37             1.17413            0.922354            -4.47008
                  38             1.20586            0.934148            -4.49954
                  39              1.2376            0.945001            -4.52935
                  40             1.26933            0.954902             -4.5595
                  41             1.30106            0.963842            -4.58995
                  42              1.3328            0.971812            -4.62066
                  43             1.36453            0.978802            -4.65162
                  44             1.39626            0.984808            -4.68277
                  45               1.428            0.989821            -4.71411
                  46             1.45973            0.993838            -4.74558
                  47             1.49146            0.996855            -4.77717
                  48              1.5232            0.998867            -4.80884
                  49             1.55493            0.999874            -4.84056
                  50             1.58666            0.999874            -4.87229
                  51              1.6184            0.998867              -4.904
                  52             1.65013            0.996855            -4.93567
                  53             1.68186            0.993838            -4.96726
                  54              1.7136            0.989821            -4.99874
                  55             1.74533            0.984808            -5.03007
                  56             1.77706            0.978802            -5.06123
                  57              1.8088            0.971812            -5.09218
                  58             1.84053            0.963842             -5.1229
                  59             1.87226            0.954902            -5.15334
                  60               1.904            0.945001            -5.18349
                  61             1.93573            0.934148            -5.21331
                  62             1.96746            0.922354            -5.24277
                  63              1.9992            0.909632            -5.27184
                  64             2.03093            0.895994            -5.30049
                  65             2.06266            0.881453            -5.32869
                  66              2.0944            0.866025            -5.35642
                  67             2.12613            0.849725            -5.38365
                  68             2.15786             0.83257            -5.41034
                  69             2.18959            0.814576            -5.43648
                  70             2.22133            0.795762            -5.46203
                  71             2.25306            0.776146            -5.48698
                  72             2.28479             0.75575            -5.51128
                  73             2.31653            0.734592            -5.53493
                  74             2.34826            0.712694             -5.5579
                  75             2.37999            0.690079            -5.58016
                  76             2.41173            0.666769            -5.60169
                  77             2.44346            0.642788            -5.62247
                  78             2.47519            0.618159            -5.64248
                  79             2.50693            0.592908            -5.66169
                  80             2.53866             0.56706             -5.6801
                  81             2.57039            0.540641            -5.69768
                  82             2.60213            0.513677            -5.71441
                  83             2.63386            0.486197            -5.73027
                  84             2.66559            0.458227            -5.74526
                  85             2.69733            0.429795            -5.75935
                  86             2.72906            0.400931            -5.77253
                  87             2.76079            0.371662            -5.78479
                  88             2.79253             0.34202            -5.79612
                  89             2.82426            0.312033            -5.80649
                  90             2.85599            0.281733            -5.81592
                  91             2.88773            0.251148            -5.82437
                  92             2.91946            0.220311            -5.83185
                  93             2.95119            0.189251            -5.83835
                  94             2.98293            0.158001            -5.84386
                  95             3.01466            0.126592            -5.84838
                  96             3.04639            0.095056            -5.85189
                  97             3.07813           0.0634239            -5.85441
                  98             3.10986           0.0317279            -5.85592
                  99             3.14159                   0            -5.85642
