            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -5.26304
                   1            0.175112            0.174262             -5.2458
                   2            0.350223            0.345309            -5.20829
                   3            0.525335            0.510841            -5.15117
                   4            0.700446            0.668008            -5.07395
                   5            0.875558            0.814436            -4.97791
                   6             1.05067            0.948154            -4.86485
                   7             1.22578             1.06764            -4.73684
                   8             1.40089             1.17196            -4.59619
                   9               1.576             1.26084            -4.44531
                  10             1.75112             1.33474            -4.28655
                  11             1.92623             1.39488             -4.1221
                  12             2.10134             1.44335            -3.95383
                  13             2.27645             1.48306            -3.78328
                  14             2.45156             1.51763            -3.61161
                  15             2.62667             1.55118            -3.43974
                  16             2.80179             1.58786            -3.26852
                  17              2.9769             1.63127            -3.09887
                  18             3.15201             1.68398            -2.93188
                  19             3.32712             1.74738            -2.76865
                  20             3.50223             1.82188            -2.61018
                  21             3.67734             1.90725            -2.45728
                  22             3.85246             2.00295            -2.31064
                  23             4.02757             2.10829            -2.17075
                  24             4.20268             2.22251            -2.03801
                  25             4.37779             2.34482             -1.9127
                  26              4.5529             2.47444            -1.79496
                  27             4.72801             2.61057            -1.68481
                  28             4.90312             2.75242            -1.58214
                  29             5.07824             2.89926            -1.48674
                  30             5.25335             3.05041             -1.3983
                  31             5.42846             3.20522            -1.31647
                  32             5.60357             3.36316            -1.24085
                  33             5.77868             3.52374              -1.171
                  34             5.95379             3.68654             -1.1065
                  35             6.12891             3.85121            -1.04694
                  36             6.30402             4.01745           -0.991917
                  37             6.47913             4.18502           -0.941056
                  38             6.65424             4.35369              -0.894
                  39             6.82935             4.52329           -0.850419
                  40             7.00446             4.69367           -0.810008
                  41             7.17958             4.86472           -0.772487
                  42             7.35469             5.03632           -0.737602
                  43              7.5298             5.20839           -0.705124
                  44             7.70491             5.38087           -0.674843
                  45             7.88002             5.55368           -0.646574
                  46             8.05513             5.72679           -0.620148
                  47             8.23024             5.90014           -0.595411
                  48             8.40536             6.07371           -0.572228
                  49             8.58047             6.24747           -0.550474
                  50             8.75558             6.42138           -0.530036
                  51             8.93069             6.59544           -0.510813
                  52              9.1058             6.76961           -0.492714
                  53             9.28091             6.94389           -0.475653
                  54             9.45603             7.11826           -0.459556
                  55             9.63114             7.29271           -0.444352
                  56             9.80625             7.46723            -0.42998
                  57             9.98136             7.64181            -0.41638
                  58             10.1565             7.81645           -0.403502
                  59             10.3316             7.99113           -0.391296
                  60             10.5067             8.16586           -0.379719
                  61             10.6818             8.34063           -0.368731
                  62             10.8569             8.51543           -0.358293
                  63              11.032             8.69026           -0.348372
                  64             11.2071             8.86512           -0.338937
                  65             11.3823                9.04           -0.329959
                  66             11.5574              9.2149            -0.32141
                  67             11.7325             9.38982           -0.313267
                  68             11.9076             9.56476           -0.305506
                  69             12.0827             9.73972           -0.298107
                  70             12.2578             9.91469           -0.291049
                  71             12.4329             10.0897           -0.284315
                  72              12.608             10.2647           -0.277889
                  73             12.7831             10.4397           -0.271754
                  74             12.9583             10.6147           -0.265896
                  75             13.1334             10.7897           -0.260302
                  76             13.3085             10.9647            -0.25496
                  77             13.4836             11.1398           -0.249858
                  78             13.6587             11.3148           -0.244985
                  79             13.8338             11.4899           -0.240333
                  80             14.0089             11.6649           -0.235892
                  81              14.184               11.84           -0.231653
                  82             14.3592              12.015           -0.227609
                  83             14.5343             12.1901           -0.223753
                  84             14.7094             12.3652           -0.220078
                  85             14.8845             12.5403           -0.216583
                  86             15.0596             12.7153           -0.213267
                  87             15.2347             12.8904            -0.21012
                  88             15.4098             13.0655           -0.207134
                  89             15.5849             13.2406           -0.204308
                  90               15.76             13.4157            -0.20164
                  91             15.9352             13.5908           -0.199129
                  92             16.1103             13.7659           -0.196779
                  93             16.2854              13.941           -0.194593
                  94             16.4605             14.1161           -0.192577
                  95             16.6356             14.2912           -0.190744
                  96             16.8107             14.4663           -0.189112
                  97             16.9858             14.6414           -0.187715
                  98             17.1609             14.8165           -0.186613
                  99              17.336             14.9916           -0.186002
