            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.794995
                   1            0.153157            0.148335           -0.756883
                   2            0.306314            0.295924           -0.715937
                   3            0.459471            0.443741           -0.675857
                   4            0.612628            0.588961            -0.62719
                   5            0.765784            0.730927           -0.569722
                   6            0.918941            0.869768           -0.505068
                   7              1.0721             1.00655            -0.43617
                   8             1.22526             1.14244            -0.36552
                   9             1.37841             1.27926           -0.296684
                  10             1.53157              1.4186           -0.233118
                  11             1.68473             1.56135           -0.177613
                  12             1.83788             1.70743           -0.131615
                  13             1.99104              1.8562          -0.0952323
                  14              2.1442             2.00684          -0.0675764
                  15             2.29735             2.15864          -0.0471817
                  16             2.45051             2.31109          -0.0324781
                  17             2.60367             2.46389            -0.02205
                  18             2.75682             2.61687          -0.0147586
                  19             2.90998             2.76994         -0.00971621
                  20             3.06314             2.92306         -0.00626023
                  21             3.21629              3.0762          -0.0039124
                  22             3.36945             3.22935         -0.00233695
                  23             3.52261              3.3825          -0.0012975
                  24             3.67577             3.53566        -0.000627111
                  25             3.82892             3.68882        -0.000208834
                  26             3.98208             3.84197         3.90062e-05
                  27             4.13524             3.99513         0.000173376
                  28             4.28839             4.14829         0.000233863
                  29             4.44155             4.30144         0.000247726
                  30             4.59471              4.4546         0.000233513
                  31             4.74786             4.60776         0.000203658
                  32             4.90102             4.76091         0.000166312
                  33             5.05418             4.91407         0.000126683
                  34             5.20733             5.06723         8.79791e-05
                  35             5.36049             5.22038         5.20708e-05
                  36             5.51365             5.37354          1.9934e-05
                  37              5.6668              5.5267        -8.03664e-06
                  38             5.81996             5.67985        -3.18124e-05
                  39             5.97312             5.83301        -5.15841e-05
                  40             6.12628             5.98617        -6.76684e-05
                  41             6.27943             6.13933        -8.04436e-05
                  42             6.43259             6.29248        -9.03089e-05
                  43             6.58575             6.44564        -9.76566e-05
                  44              6.7389              6.5988        -0.000102857
                  45             6.89206             6.75195         -0.00010625
                  46             7.04522             6.90511        -0.000108139
                  47             7.19837             7.05827        -0.000108795
                  48             7.35153             7.21142         -0.00010845
                  49             7.50469             7.36458        -0.000107308
                  50             7.65784             7.51774         -0.00010554
                  51               7.811             7.67089        -0.000103291
                  52             7.96416             7.82405        -0.000100684
                  53             8.11732             7.97721         -9.7821e-05
                  54             8.27047             8.13036        -9.47847e-05
                  55             8.42363             8.28352         -9.1644e-05
                  56             8.57679             8.43668        -8.84543e-05
                  57             8.72994             8.58984        -8.52601e-05
                  58              8.8831             8.74299        -8.20966e-05
                  59             9.03626             8.89615        -7.89913e-05
                  60             9.18941             9.04931        -7.59651e-05
                  61             9.34257             9.20246        -7.30337e-05
                  62             9.49573             9.35562        -7.02086e-05
                  63             9.64888             9.50878        -6.74975e-05
                  64             9.80204             9.66193        -6.49054e-05
                  65              9.9552             9.81509        -6.24351e-05
                  66             10.1084             9.96825        -6.00872e-05
                  67             10.2615             10.1214        -5.78614e-05
                  68             10.4147             10.2746         -5.5756e-05
                  69             10.5678             10.4277        -5.37686e-05
                  70              10.721             10.5809         -5.1896e-05
                  71             10.8741              10.734         -5.0135e-05
                  72             11.0273             10.8872        -4.84816e-05
                  73             11.1805             11.0403        -4.69319e-05
                  74             11.3336             11.1935        -4.54819e-05
                  75             11.4868             11.3467        -4.41275e-05
                  76             11.6399             11.4998        -4.28645e-05
                  77             11.7931              11.653        -4.16888e-05
                  78             11.9462             11.8061        -4.05963e-05
                  79             12.0994             11.9593         -3.9584e-05
                  80             12.2526             12.1124        -3.86437e-05
                  81             12.4057             12.2656          -3.777e-05
                  82             12.5589             12.4188        -3.69496e-05
                  83              12.712             12.5719        -3.62064e-05
                  84             12.8652             12.7251        -3.55366e-05
                  85             13.0183             12.8782         -3.4946e-05
                  86             13.1715             13.0314        -3.44061e-05
                  87             13.3246             13.1845        -3.39249e-05
                  88             13.4778             13.3377        -3.35112e-05
                  89              13.631             13.4909        -3.31815e-05
                  90             13.7841              13.644        -3.29694e-05
                  91             13.9373             13.7972        -3.29342e-05
                  92             14.0904             13.9503        -3.31819e-05
                  93             14.2436             14.1035        -3.38985e-05
                  94             14.3967             14.2566        -3.54223e-05
                  95             14.5499             14.4098        -3.83822e-05
                  96             14.7031              14.563        -4.39879e-05
                  97             14.8562             14.7161        -5.47585e-05
                  98             15.0094             14.8693        -7.67566e-05
                  99             15.1625             15.0224         -0.00012969
