            Interval                 Arc              Radial            Vertical
                   0                   0                   0          -0.0768248
                   1            0.151542             0.15154          -0.0760698
                   2            0.303084            0.303079          -0.0751149
                   3            0.454626            0.454616          -0.0738171
                   4            0.606168            0.606148          -0.0721323
                   5             0.75771            0.757677          -0.0700927
                   6            0.909252              0.9092          -0.0677467
                   7             1.06079             1.06072          -0.0651515
                   8             1.21234             1.21224          -0.0623669
                   9             1.36388             1.36375          -0.0594518
                  10             1.51542             1.51526          -0.0564617
                  11             1.66696             1.66678          -0.0534464
                  12              1.8185             1.81829          -0.0504492
                  13             1.97005              1.9698          -0.0475058
                  14             2.12159             2.12132          -0.0446452
                  15             2.27313             2.27283          -0.0418892
                  16             2.42467             2.42435          -0.0392534
                  17             2.57621             2.57587          -0.0367484
                  18             2.72776              2.7274          -0.0343798
                  19              2.8793             2.87892          -0.0321499
                  20             3.03084             3.03045          -0.0300579
                  21             3.18238             3.18198          -0.0281009
                  22             3.33392             3.33351          -0.0262743
                  23             3.48547             3.48504          -0.0245726
                  24             3.63701             3.63658          -0.0229893
                  25             3.78855             3.78811          -0.0215176
                  26             3.94009             3.93965          -0.0201508
                  27             4.09163             4.09118          -0.0188817
                  28             4.24318             4.24272          -0.0177038
                  29             4.39472             4.39426          -0.0166105
                  30             4.54626              4.5458          -0.0155956
                  31              4.6978             4.69734          -0.0146532
                  32             4.84934             4.84888          -0.0137778
                  33             5.00089             5.00042          -0.0129644
                  34             5.15243             5.15196          -0.0122082
                  35             5.30397              5.3035          -0.0115046
                  36             5.45551             5.45504          -0.0108498
                  37             5.60705             5.60658          -0.0102398
                  38              5.7586             5.75812         -0.00967131
                  39             5.91014             5.90966         -0.00914106
                  40             6.06168              6.0612         -0.00864617
                  41             6.21322             6.21274         -0.00818395
                  42             6.36476             6.36428         -0.00775195
                  43             6.51631             6.51583         -0.00734791
                  44             6.66785             6.66737         -0.00696976
                  45             6.81939             6.81891         -0.00661561
                  46             6.97093             6.97045         -0.00628372
                  47             7.12247             7.12199         -0.00597249
                  48             7.27402             7.27353         -0.00568046
                  49             7.42556             7.42508         -0.00540627
                  50              7.5771             7.57662          -0.0051487
                  51             7.72864             7.72816         -0.00490659
                  52             7.88019              7.8797         -0.00467891
                  53             8.03173             8.03124         -0.00446469
                  54             8.18327             8.18279         -0.00426303
                  55             8.33481             8.33433         -0.00407313
                  56             8.48635             8.48587         -0.00389421
                  57              8.6379             8.63741          -0.0037256
                  58             8.78944             8.78895         -0.00356663
                  59             8.94098             8.94049         -0.00341672
                  60             9.09252             9.09204         -0.00327532
                  61             9.24406             9.24358         -0.00314191
                  62             9.39561             9.39512         -0.00301603
                  63             9.54715             9.54666         -0.00289724
                  64             9.69869              9.6982         -0.00278514
                  65             9.85023             9.84975         -0.00267935
                  66             10.0018             10.0013         -0.00257953
                  67             10.1533             10.1528         -0.00248535
                  68             10.3049             10.3044         -0.00239652
                  69             10.4564             10.4559         -0.00231276
                  70             10.6079             10.6075         -0.00223383
                  71             10.7595              10.759         -0.00215948
                  72              10.911             10.9105         -0.00208949
                  73             11.0626             11.0621         -0.00202368
                  74             11.2141             11.2136         -0.00196185
                  75             11.3657             11.3652         -0.00190384
                  76             11.5172             11.5167         -0.00184948
                  77             11.6687             11.6683         -0.00179865
                  78             11.8203             11.8198         -0.00175121
                  79             11.9718             11.9713         -0.00170706
                  80             12.1234             12.1229         -0.00166609
                  81             12.2749             12.2744         -0.00162821
                  82             12.4264              12.426         -0.00159335
                  83              12.578             12.5775         -0.00156145
                  84             12.7295              12.729         -0.00153247
                  85             12.8811             12.8806         -0.00150638
                  86             13.0326             13.0321         -0.00148316
                  87             13.1842             13.1837         -0.00146282
                  88             13.3357             13.3352         -0.00144539
                  89             13.4872             13.4868         -0.00143093
                  90             13.6388             13.6383         -0.00141952
                  91             13.7903             13.7898         -0.00141129
                  92             13.9419             13.9414         -0.00140643
                  93             14.0934             14.0929          -0.0014052
                  94             14.2449             14.2445         -0.00140796
                  95             14.3965              14.396         -0.00141526
                  96              14.548             14.5475         -0.00142791
                  97             14.6996             14.6991         -0.00144725
                  98             14.8511             14.8506         -0.00147587
                  99             15.0027             15.0022         -0.00152057
