            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.508999
                   1            0.152296            0.146906           -0.468867
                   2            0.304592            0.294265           -0.430369
                   3            0.456889            0.442657           -0.396114
                   4            0.609185            0.588974           -0.353857
                   5            0.761481            0.733145           -0.304778
                   6            0.913777            0.877505           -0.256259
                   7             1.06607             1.02236            -0.20924
                   8             1.21837             1.17056           -0.174164
                   9             1.37067             1.32104           -0.150701
                  10             1.52296             1.47268           -0.136578
                  11             1.67526             1.62444           -0.123772
                  12             1.82755             1.77653           -0.115884
                  13             1.97985             1.92858           -0.107222
                  14             2.13215             2.08085           -0.104219
                  15             2.28444             2.23267          -0.0921907
                  16             2.43674             2.38389          -0.0741502
                  17             2.58904             2.53489          -0.0543173
                  18             2.74133             2.68685          -0.0441495
                  19             2.89363             2.83894          -0.0362366
                  20             3.04592             2.99103          -0.0283966
                  21             3.19822             3.14313          -0.0206841
                  22             3.35052             3.29538          -0.0166893
                  23             3.50281             3.44767          -0.0157472
                  24             3.65511             3.59996          -0.0170098
                  25             3.80741             3.75226          -0.0170246
                  26              3.9597             3.90455          -0.0164858
                  27               4.112             4.05684           -0.014569
                  28             4.26429             4.20913          -0.0138837
                  29             4.41659             4.36141          -0.0116735
                  30             4.56889             4.51367         -0.00837625
                  31             4.72118             4.66589         -0.00360171
                  32             4.87348             4.81818         -0.00172605
                  33             5.02577             4.97047         -0.00184791
                  34             5.17807             5.12277         -0.00264908
                  35             5.33037             5.27506         -0.00210057
                  36             5.48266             5.42736         -0.00169421
                  37             5.63496             5.57965         -0.00191959
                  38             5.78726             5.73195         -0.00278952
                  39             5.93955             5.88424         -0.00304221
                  40             6.09185             6.03654          -0.0027343
                  41             6.24414             6.18883         -0.00190269
                  42             6.39644             6.34113         -0.00149999
                  43             6.54874             6.49343         -0.00106332
                  44             6.70103             6.64572          -0.0006272
                  45             6.85333             6.79801         0.000261396
                  46             7.00563             6.95031         0.000521211
                  47             7.15792             7.10261         0.000181212
                  48             7.31022              7.2549        -0.000556327
                  49             7.46251              7.4072        -0.000696862
                  50             7.61481             7.55949         -0.00051707
                  51             7.76711             7.71179        -0.000336727
                  52              7.9194             7.86409        -0.000488058
                  53              8.0717             8.01638        -0.000567481
                  54               8.224             8.16868        -0.000461972
                  55             8.37629             8.32097        -0.000171043
                  56             8.52859             8.47327        -2.74511e-05
                  57             8.68088             8.62557         1.52838e-05
                  58             8.83318             8.77786        -1.23955e-05
                  59             8.98548             8.93016         8.77214e-05
                  60             9.13777             9.08245         0.000104524
                  61             9.29007             9.23475         8.71647e-06
                  62             9.44236             9.38705        -0.000218091
                  63             9.59466             9.53934        -0.000279943
                  64             9.74696             9.69164        -0.000196098
                  65             9.89925             9.84394        -5.56186e-05
                  66             10.0515             9.99623        -4.66993e-05
                  67             10.2038             10.1485         -8.1557e-05
                  68             10.3561             10.3008        -8.79088e-05
                  69             10.5084             10.4531        -2.03717e-05
                  70             10.6607             10.6054         2.00466e-05
                  71              10.813             10.7577         1.53961e-05
                  72             10.9653               10.91        -2.50276e-05
                  73             11.1176             11.0623        -2.99354e-05
                  74             11.2699             11.2146        -2.96096e-05
                  75             11.4222             11.3669        -3.90607e-05
                  76             11.5745             11.5192        -8.36345e-05
                  77             11.7268             11.6715        -9.68231e-05
                  78             11.8791             11.8238        -7.12527e-05
                  79             12.0314             11.9761        -2.03565e-05
                  80             12.1837             12.1284         -8.4772e-06
                  81              12.336             12.2807        -2.40148e-05
                  82             12.4883              12.433        -4.11367e-05
                  83             12.6406             12.5853        -3.37009e-05
                  84             12.7929             12.7376        -2.43342e-05
                  85             12.9452             12.8899        -2.85632e-05
                  86             13.0975             13.0422        -4.50723e-05
                  87             13.2498             13.1945        -5.44015e-05
                  88             13.4021             13.3467        -5.73553e-05
                  89             13.5544              13.499        -5.69899e-05
                  90             13.7067             13.6513         -6.4956e-05
                  91              13.859             13.8036        -7.01467e-05
                  92             14.0113             13.9559         -6.8751e-05
                  93             14.1635             14.1082        -6.06818e-05
                  94             14.3158             14.2605        -6.11547e-05
                  95             14.4681             14.4128        -7.09743e-05
                  96             14.6204             14.5651        -8.65781e-05
                  97             14.7727             14.7174        -9.44997e-05
                  98              14.925             14.8697        -0.000101624
                  99             15.0773              15.022        -0.000121169
