            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.90959
                   0                   0                   0             1.90959
                   1           0.0317333           0.0317279             1.90909
                   2           0.0634665           0.0634239             1.90758
                   3           0.0951998            0.095056             1.90506
                   4            0.126933            0.126592             1.90155
                   5            0.158666            0.158001             1.89703
                   6              0.1904            0.189251             1.89152
                   7            0.222133            0.220311             1.88502
                   8            0.253866            0.251148             1.87754
                   9            0.285599            0.281733             1.86908
                  10            0.317333            0.312033             1.85966
                  11            0.349066             0.34202             1.84928
                  12            0.380799            0.371662             1.83796
                  13            0.412532            0.400931              1.8257
                  14            0.444266            0.429795             1.81252
                  15            0.475999            0.458227             1.79843
                  16            0.507732            0.486197             1.78344
                  17            0.539465            0.513677             1.76757
                  18            0.571199            0.540641             1.75085
                  19            0.602932             0.56706             1.73327
                  20            0.634665            0.592908             1.71486
                  21            0.666398            0.618159             1.69564
                  22            0.698132            0.642788             1.67564
                  23            0.729865            0.666769             1.65486
                  24            0.761598            0.690079             1.63333
                  25            0.793331            0.712694             1.61107
                  26            0.825065            0.734592              1.5881
                  27            0.856798             0.75575             1.56445
                  28            0.888531            0.776146             1.54014
                  29            0.920265            0.795762              1.5152
                  30            0.951998            0.814576             1.48965
                  31            0.983731             0.83257             1.46351
                  32             1.01546            0.849725             1.43682
                  33              1.0472            0.866025             1.40959
                  34             1.07893            0.881453             1.38186
                  35             1.11066            0.895994             1.35366
                  36              1.1424            0.909632             1.32501
                  37             1.17413            0.922354             1.29594
                  38             1.20586            0.934148             1.26648
                  39              1.2376            0.945001             1.23666
                  40             1.26933            0.954902             1.20651
                  41             1.30106            0.963842             1.17607
                  42              1.3328            0.971812             1.14535
                  43             1.36453            0.978802              1.1144
                  44             1.39626            0.984808             1.08324
                  45               1.428            0.989821             1.05191
                  46             1.45973            0.993838             1.02043
                  47             1.49146            0.996855            0.988842
                  48              1.5232            0.998867            0.957173
                  49             1.55493            0.999874            0.925458
                  50             1.58666            0.999874            0.893726
                  51              1.6184            0.998867             0.86201
                  52             1.65013            0.996855            0.830342
                  53             1.68186            0.993838            0.798753
                  54              1.7136            0.989821            0.767277
                  55             1.74533            0.984808            0.735943
                  56             1.77706            0.978802            0.704785
                  57              1.8088            0.971812            0.673833
                  58             1.84053            0.963842            0.643118
                  59             1.87226            0.954902            0.612671
                  60               1.904            0.945001            0.582524
                  61             1.93573            0.934148            0.552705
                  62             1.96746            0.922354            0.523246
                  63              1.9992            0.909632            0.494177
                  64             2.03093            0.895994            0.465525
                  65             2.06266            0.881453            0.437321
                  66              2.0944            0.866025            0.409592
                  67             2.12613            0.849725            0.382366
                  68             2.15786             0.83257            0.355672
                  69             2.18959            0.814576            0.329535
                  70             2.22133            0.795762            0.303982
                  71             2.25306            0.776146            0.279039
                  72             2.28479             0.75575            0.254731
                  73             2.31653            0.734592            0.231082
                  74             2.34826            0.712694            0.208117
                  75             2.37999            0.690079            0.185858
                  76             2.41173            0.666769            0.164327
                  77             2.44346            0.642788            0.143547
                  78             2.47519            0.618159            0.123538
                  79             2.50693            0.592908            0.104321
                  80             2.53866             0.56706            0.085915
                  81             2.57039            0.540641            0.068338
                  82             2.60213            0.513677           0.0516082
                  83             2.63386            0.486197           0.0357422
                  84             2.66559            0.458227           0.0207561
                  85             2.69733            0.429795          0.00666504
                  86             2.72906            0.400931         -0.00651688
                  87             2.76079            0.371662          -0.0187764
                  88             2.79253             0.34202           -0.030101
                  89             2.82426            0.312033          -0.0404795
                  90             2.85599            0.281733          -0.0499014
                  91             2.88773            0.251148          -0.0583571
                  92             2.91946            0.220311          -0.0658382
                  93             2.95119            0.189251          -0.0723371
                  94             2.98293            0.158001          -0.0778473
                  95             3.01466            0.126592          -0.0823632
                  96             3.04639            0.095056          -0.0858803
                  97             3.07813           0.0634239          -0.0883951
                  98             3.10986           0.0317279           -0.089905
                  99             3.14159                   0          -0.0904084
