            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.145335
                   1            0.151607            0.151492            -0.13943
                   2            0.303214            0.303053           -0.135695
                   3            0.454821             0.45462           -0.132208
                   4            0.606428            0.606165           -0.127868
                   5            0.758035            0.757694           -0.123008
                   6            0.909642            0.909205           -0.117625
                   7             1.06125              1.0607           -0.111728
                   8             1.21286              1.2122           -0.106031
                   9             1.36446             1.36369           -0.100188
                  10             1.51607             1.51518          -0.0941919
                  11             1.66768             1.66666          -0.0880868
                  12             1.81928             1.81815          -0.0820997
                  13             1.97089             1.96965          -0.0762858
                  14              2.1225             2.12116           -0.070889
                  15             2.27411             2.27266          -0.0651833
                  16             2.42571             2.42416          -0.0596319
                  17             2.57732             2.57568          -0.0543979
                  18             2.72893             2.72722          -0.0499366
                  19             2.88053             2.87877          -0.0457863
                  20             3.03214             3.03033          -0.0418929
                  21             3.18375             3.18189          -0.0382205
                  22             3.33535             3.33346          -0.0348745
                  23             3.48696             3.48504          -0.0318155
                  24             3.63857             3.63662          -0.0290071
                  25             3.79018              3.7882          -0.0264052
                  26             3.94178             3.93979          -0.0240188
                  27             4.09339             4.09138          -0.0218413
                  28               4.245             4.24298          -0.0198733
                  29              4.3966             4.39457          -0.0180571
                  30             4.54821             4.54617          -0.0163889
                  31             4.69982             4.69777          -0.0148649
                  32             4.85143             4.84937          -0.0135216
                  33             5.00303             5.00098          -0.0123174
                  34             5.15464             5.15258          -0.0112231
                  35             5.30625             5.30418          -0.0102069
                  36             5.45785             5.45579         -0.00928175
                  37             5.60946             5.60739         -0.00844411
                  38             5.76107               5.759         -0.00768799
                  39             5.91267              5.9106         -0.00699834
                  40             6.06428             6.06221         -0.00637001
                  41             6.21589             6.21381         -0.00579866
                  42              6.3675             6.36542          -0.0052813
                  43              6.5191             6.51703         -0.00481057
                  44             6.67071             6.66863         -0.00438164
                  45             6.82232             6.82024         -0.00399056
                  46             6.97392             6.97185         -0.00363716
                  47             7.12553             7.12345         -0.00331714
                  48             7.27714             7.27506         -0.00302599
                  49             7.42875             7.42667         -0.00275836
                  50             7.58035             7.57827         -0.00251344
                  51             7.73196             7.72988         -0.00229028
                  52             7.88357             7.88149         -0.00208787
                  53             8.03517             8.03309         -0.00190338
                  54             8.18678              8.1847         -0.00173489
                  55             8.33839             8.33631         -0.00158091
                  56             8.48999             8.48791         -0.00144057
                  57              8.6416             8.63952         -0.00131257
                  58             8.79321             8.79113         -0.00119574
                  59             8.94482             8.94274         -0.00108901
                  60             9.09642             9.09434        -0.000991658
                  61             9.24803             9.24595        -0.000902892
                  62             9.39964             9.39756         -0.00082191
                  63             9.55124             9.54916        -0.000747893
                  64             9.70285             9.70077        -0.000680299
                  65             9.85446             9.85238        -0.000618707
                  66             10.0061              10.004         -0.00056246
                  67             10.1577             10.1556        -0.000511067
                  68             10.3093             10.3072        -0.000464107
                  69             10.4609             10.4588        -0.000421726
                  70             10.6125             10.6104        -0.000383556
                  71             10.7641              10.762        -0.000349288
                  72             10.9157             10.9136        -0.000318369
                  73             11.0673             11.0652        -0.000290559
                  74             11.2189             11.2168        -0.000265607
                  75             11.3705             11.3684        -0.000243287
                  76             11.5221             11.5201        -0.000223499
                  77             11.6737             11.6717        -0.000206023
                  78             11.8253             11.8233        -0.000190729
                  79              11.977             11.9749         -0.00017749
                  80             12.1286             12.1265         -0.00016596
                  81             12.2802             12.2781        -0.000155944
                  82             12.4318             12.4297        -0.000146744
                  83             12.5834             12.5813        -0.000142581
                  84              12.735             12.7329        -0.000142391
                  85             12.8866             12.8845        -0.000146535
                  86             13.0382             13.0361        -0.000151095
                  87             13.1898             13.1877        -0.000156936
                  88             13.3414             13.3393        -0.000164059
                  89              13.493             13.4909        -0.000172311
                  90             13.6446             13.6426        -0.000182016
                  91             13.7962             13.7942          -0.0001934
                  92             13.9478             13.9458         -0.00020684
                  93             14.0995             14.0974        -0.000222612
                  94             14.2511              14.249        -0.000241351
                  95             14.4027             14.4006        -0.000264193
                  96             14.5543             14.5522        -0.000293221
                  97             14.7059             14.7038        -0.000327681
                  98             14.8575             14.8554        -0.000372877
                  99             15.0091              15.007        -0.000441794
