            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -2.88364
                   1            0.158474            0.158241            -2.87505
                   2            0.316948            0.315286            -2.85382
                   3            0.475421             0.47016            -2.82023
                   4            0.633895            0.621827            -2.77428
                   5            0.792369            0.769435            -2.71661
                   6            0.950843            0.912317            -2.64806
                   7             1.10932             1.05003            -2.56965
                   8             1.26779              1.1824            -2.48251
                   9             1.42626             1.30952            -2.38789
                  10             1.58474             1.43182             -2.2871
                  11             1.74321             1.55001            -2.18154
                  12             1.90169             1.66512            -2.07262
                  13             2.06016             1.77842            -1.96181
                  14             2.21863             1.89132             -1.8506
                  15             2.37711             2.00529            -1.74049
                  16             2.53558             2.12168            -1.63294
                  17             2.69405             2.24156            -1.52929
                  18             2.85253             2.36563             -1.4307
                  19               3.011             2.49418            -1.33802
                  20             3.16948             2.62713            -1.25178
                  21             3.32795             2.76416            -1.17217
                  22             3.48642             2.90478            -1.09911
                  23              3.6449             3.04849            -1.03231
                  24             3.80337             3.19478           -0.971361
                  25             3.96185             3.34318           -0.915782
                  26             4.12032             3.49333           -0.865086
                  27             4.27879             3.64489           -0.818793
                  28             4.43727             3.79761           -0.776457
                  29             4.59574             3.95126           -0.737666
                  30             4.75421             4.10568           -0.702051
                  31             4.91269             4.26073           -0.669281
                  32             5.07116             4.41629           -0.639064
                  33             5.22964             4.57229           -0.611138
                  34             5.38811             4.72864           -0.585276
                  35             5.54658             4.88528           -0.561274
                  36             5.70506             5.04218           -0.538953
                  37             5.86353             5.19928           -0.518154
                  38             6.02201             5.35656           -0.498737
                  39             6.18048             5.51399           -0.480578
                  40             6.33895             5.67155           -0.463566
                  41             6.49743             5.82921           -0.447601
                  42              6.6559             5.98698           -0.432597
                  43             6.81437             6.14482           -0.418473
                  44             6.97285             6.30273            -0.40516
                  45             7.13132             6.46071           -0.392594
                  46              7.2898             6.61874           -0.380717
                  47             7.44827             6.77681           -0.369479
                  48             7.60674             6.93493           -0.358831
                  49             7.76522             7.09308           -0.348731
                  50             7.92369             7.25126           -0.339142
                  51             8.08216             7.40947           -0.330028
                  52             8.24064             7.56771           -0.321357
                  53             8.39911             7.72597           -0.313099
                  54             8.55759             7.88425           -0.305229
                  55             8.71606             8.04254           -0.297721
                  56             8.87453             8.20085           -0.290554
                  57             9.03301             8.35918           -0.283706
                  58             9.19148             8.51752           -0.277159
                  59             9.34996             8.67587           -0.270894
                  60             9.50843             8.83423           -0.264896
                  61              9.6669              8.9926            -0.25915
                  62             9.82538             9.15098           -0.253642
                  63             9.98385             9.30936           -0.248358
                  64             10.1423             9.46775           -0.243288
                  65             10.3008             9.62615            -0.23842
                  66             10.4593             9.78456           -0.233744
                  67             10.6177             9.94297           -0.229249
                  68             10.7762             10.1014           -0.224928
                  69             10.9347             10.2598           -0.220772
                  70             11.0932             10.4182           -0.216772
                  71             11.2516             10.5767           -0.212923
                  72             11.4101             10.7351           -0.209217
                  73             11.5686             10.8935           -0.205647
                  74             11.7271              11.052           -0.202209
                  75             11.8855             11.2104           -0.198896
                  76              12.044             11.3688           -0.195703
                  77             12.2025             11.5273           -0.192625
                  78              12.361             11.6857           -0.189659
                  79             12.5194             11.8442           -0.186799
                  80             12.6779             12.0026           -0.184043
                  81             12.8364             12.1611           -0.181386
                  82             12.9949             12.3195           -0.178824
                  83             13.1533              12.478           -0.176356
                  84             13.3118             12.6364           -0.173979
                  85             13.4703             12.7949           -0.171689
                  86             13.6287             12.9534           -0.169485
                  87             13.7872             13.1118           -0.167364
                  88             13.9457             13.2703           -0.165326
                  89             14.1042             13.4287           -0.163368
                  90             14.2626             13.5872            -0.16149
                  91             14.4211             13.7457           -0.159692
                  92             14.5796             13.9041           -0.157974
                  93             14.7381             14.0626           -0.156337
                  94             14.8965             14.2211           -0.154784
                  95              15.055             14.3795           -0.153318
                  96             15.2135              14.538           -0.151947
                  97              15.372             14.6965           -0.150684
                  98             15.5304             14.8549           -0.149553
                  99             15.6889             15.0134           -0.148626
