            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -5.30673
                   1            0.175519            0.174785            -5.29069
                   2            0.351039            0.346383            -5.25379
                   3            0.526558            0.512367            -5.19673
                   4            0.702078            0.669928            -5.11939
                   5            0.877597             0.81669            -5.02312
                   6             1.05312            0.950677            -4.90974
                   7             1.22864             1.07038            -4.78137
                   8             1.40416             1.17488            -4.64035
                   9             1.57967              1.2639            -4.48908
                  10             1.75519             1.33789            -4.32992
                  11             1.93071             1.39806            -4.16503
                  12             2.10623             1.44645            -3.99632
                  13             2.28175             1.48592            -3.82529
                  14             2.45727             1.52002            -3.65312
                  15             2.63279             1.55276            -3.48068
                  16             2.80831             1.58824            -3.30878
                  17             2.98383             1.63004            -3.13831
                  18             3.15935             1.68077            -2.97029
                  19             3.33487             1.74192            -2.80576
                  20             3.51039             1.81401            -2.64573
                  21             3.68591             1.89691            -2.49102
                  22             3.86143             1.99017            -2.34233
                  23             4.03695             2.09318            -2.20022
                  24             4.21247             2.20524            -2.06513
                  25             4.38799             2.32563             -1.9374
                  26             4.56351             2.45358            -1.81725
                  27             4.73902             2.58831            -1.70476
                  28             4.91454             2.72905            -1.59987
                  29             5.09006             2.87503            -1.50242
                  30             5.26558             3.02555            -1.41214
                  31              5.4411             3.17995            -1.32867
                  32             5.61662             3.33764             -1.2516
                  33             5.79214             3.49811            -1.18049
                  34             5.96766             3.66092            -1.11491
                  35             6.14318             3.82568            -1.05442
                  36              6.3187             3.99209           -0.998582
                  37             6.49422             4.15986           -0.947008
                  38             6.66974             4.32877           -0.899322
                  39             6.84526             4.49865            -0.85518
                  40             7.02078             4.66934           -0.814268
                  41              7.1963              4.8407           -0.776299
                  42             7.37182             5.01264           -0.741013
                  43             7.54734             5.18506           -0.708175
                  44             7.72285             5.35789           -0.677573
                  45             7.89837             5.53107           -0.649015
                  46             8.07389             5.70455            -0.62233
                  47             8.24941             5.87828           -0.597361
                  48             8.42493             6.05224           -0.573969
                  49             8.60045             6.22638           -0.552026
                  50             8.77597             6.40068           -0.531419
                  51             8.95149             6.57513           -0.512043
                  52             9.12701              6.7497           -0.493804
                  53             9.30253             6.92438           -0.476617
                  54             9.47805             7.09914           -0.460406
                  55             9.65357             7.27399           -0.445099
                  56             9.82909             7.44892           -0.430633
                  57             10.0046              7.6239           -0.416948
                  58             10.1801             7.79894           -0.403992
                  59             10.3556             7.97403           -0.391715
                  60             10.5312             8.14917           -0.380074
                  61             10.7067             8.32434           -0.369026
                  62             10.8822             8.49954           -0.358535
                  63             11.0577             8.67478           -0.348565
                  64             11.2332             8.85004           -0.339085
                  65             11.4088             9.02533           -0.330066
                  66             11.5843             9.20064            -0.32148
                  67             11.7598             9.37597           -0.313302
                  68             11.9353             9.55131            -0.30551
                  69             12.1108             9.72668           -0.298082
                  70             12.2864             9.90205           -0.290997
                  71             12.4619             10.0774           -0.284239
                  72             12.6374             10.2528           -0.277791
                  73             12.8129             10.4283           -0.271635
                  74             12.9884             10.6037           -0.265759
                  75              13.164             10.7791           -0.260147
                  76             13.3395             10.9545           -0.254789
                  77              13.515               11.13           -0.249673
                  78             13.6905             11.3054           -0.244787
                  79              13.866             11.4809           -0.240123
                  80             14.0416             11.6564            -0.23567
                  81             14.2171             11.8318           -0.231421
                  82             14.3926             12.0073           -0.227368
                  83             14.5681             12.1828           -0.223504
                  84             14.7436             12.3583           -0.219824
                  85             14.9192             12.5337           -0.216321
                  86             15.0947             12.7092           -0.212992
                  87             15.2702             12.8847           -0.209831
                  88             15.4457             13.0602           -0.206836
                  89             15.6212             13.2357           -0.204005
                  90             15.7967             13.4112           -0.201334
                  91             15.9723             13.5867           -0.198826
                  92             16.1478             13.7622           -0.196482
                  93             16.3233             13.9377           -0.194305
                  94             16.4988             14.1132           -0.192302
                  95             16.6743             14.2887           -0.190485
                  96             16.8499             14.4643           -0.188872
                  97             17.0254             14.6398             -0.1875
                  98             17.2009             14.8153           -0.186429
                  99             17.3764             14.9908           -0.185854
