            Interval                 Arc              Radial            Vertical
                   0                   0                   0         -0.00934151
                   1            0.151517            0.151517         -0.00931569
                   2            0.303034            0.303034         -0.00924781
                   3            0.454551            0.454551         -0.00913877
                   4            0.606068            0.606068         -0.00899127
                   5            0.757585            0.757585         -0.00880939
                   6            0.909103            0.909102         -0.00859796
                   7             1.06062             1.06062         -0.00836221
                   8             1.21214             1.21214          -0.0081075
                   9             1.36365             1.36365         -0.00783905
                  10             1.51517             1.51517         -0.00756173
                  11             1.66669             1.66669         -0.00727993
                  12             1.81821              1.8182         -0.00699746
                  13             1.96972             1.96972         -0.00671756
                  14             2.12124             2.12124         -0.00644284
                  15             2.27276             2.27275         -0.00617535
                  16             2.42427             2.42427         -0.00591665
                  17             2.57579             2.57579         -0.00566784
                  18             2.72731              2.7273         -0.00542962
                  19             2.87882             2.87882         -0.00520241
                  20             3.03034             3.03034         -0.00498636
                  21             3.18186             3.18186         -0.00478141
                  22             3.33338             3.33337         -0.00458738
                  23             3.48489             3.48489         -0.00440393
                  24             3.63641             3.63641         -0.00423068
                  25             3.78793             3.78792         -0.00406719
                  26             3.93944             3.93944         -0.00391297
                  27             4.09096             4.09096         -0.00376753
                  28             4.24248             4.24247         -0.00363037
                  29               4.394             4.39399           -0.003501
                  30             4.54551             4.54551         -0.00337894
                  31             4.69703             4.69703         -0.00326373
                  32             4.84855             4.84854         -0.00315493
                  33             5.00006             5.00006         -0.00305213
                  34             5.15158             5.15158         -0.00295493
                  35              5.3031             5.30309         -0.00286296
                  36             5.45462             5.45461         -0.00277587
                  37             5.60613             5.60613         -0.00269335
                  38             5.75765             5.75764         -0.00261508
                  39             5.90917             5.90916          -0.0025408
                  40             6.06068             6.06068         -0.00247024
                  41              6.2122              6.2122         -0.00240317
                  42             6.36372             6.36371         -0.00233934
                  43             6.51524             6.51523         -0.00227857
                  44             6.66675             6.66675         -0.00222065
                  45             6.81827             6.81826         -0.00216542
                  46             6.96979             6.96978         -0.00211269
                  47              7.1213              7.1213         -0.00206233
                  48             7.27282             7.27282         -0.00201418
                  49             7.42434             7.42433         -0.00196811
                  50             7.57585             7.57585         -0.00192401
                  51             7.72737             7.72737         -0.00188176
                  52             7.87889             7.87888         -0.00184125
                  53             8.03041              8.0304         -0.00180238
                  54             8.18192             8.18192         -0.00176507
                  55             8.33344             8.33344         -0.00172922
                  56             8.48496             8.48495         -0.00169476
                  57             8.63647             8.63647         -0.00166161
                  58             8.78799             8.78799         -0.00162971
                  59             8.93951              8.9395         -0.00159899
                  60             9.09103             9.09102         -0.00156938
                  61             9.24254             9.24254         -0.00154084
                  62             9.39406             9.39406          -0.0015133
                  63             9.54558             9.54557         -0.00148673
                  64             9.69709             9.69709         -0.00146107
                  65             9.84861             9.84861         -0.00143627
                  66             10.0001             10.0001         -0.00141231
                  67             10.1516             10.1516         -0.00138914
                  68             10.3032             10.3032         -0.00136672
                  69             10.4547             10.4547         -0.00134501
                  70             10.6062             10.6062           -0.001324
                  71             10.7577             10.7577         -0.00130365
                  72             10.9092             10.9092         -0.00128392
                  73             11.0607             11.0607          -0.0012648
                  74             11.2123             11.2123         -0.00124625
                  75             11.3638             11.3638         -0.00122826
                  76             11.5153             11.5153          -0.0012108
                  77             11.6668             11.6668         -0.00119385
                  78             11.8183             11.8183         -0.00117739
                  79             11.9699             11.9698          -0.0011614
                  80             12.1214             12.1214         -0.00114586
                  81             12.2729             12.2729         -0.00113076
                  82             12.4244             12.4244         -0.00111608
                  83             12.5759             12.5759         -0.00110181
                  84             12.7274             12.7274         -0.00108792
                  85              12.879             12.8789         -0.00107442
                  86             13.0305             13.0305         -0.00106128
                  87              13.182              13.182         -0.00104849
                  88             13.3335             13.3335         -0.00103605
                  89              13.485              13.485         -0.00102393
                  90             13.6365             13.6365         -0.00101214
                  91             13.7881             13.7881         -0.00100067
                  92             13.9396             13.9396          -0.0009895
                  93             14.0911             14.0911        -0.000978635
                  94             14.2426             14.2426         -0.00096807
                  95             14.3941             14.3941        -0.000957801
                  96             14.5456             14.5456        -0.000947832
                  97             14.6972             14.6972        -0.000938171
                  98             14.8487             14.8487        -0.000928845
                  99             15.0002             15.0002         -0.00091993
