            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -1.47496
                   1             0.15412            0.153032            -1.45668
                   2             0.30824            0.305373            -1.43332
                   3             0.46236            0.456802            -1.40465
                   4            0.616479            0.606291            -1.36716
                   5            0.770599            0.753435            -1.32131
                   6            0.924719            0.898044            -1.26801
                   7             1.07884             1.04007            -1.20816
                   8             1.23296             1.17977            -1.14307
                   9             1.38708             1.31756            -1.07403
                  10              1.5412             1.45406            -1.00247
                  11             1.69532             1.58988           -0.929632
                  12             1.84944             1.72586           -0.857088
                  13             2.00356             1.86263           -0.786052
                  14             2.15768              2.0009           -0.717975
                  15              2.3118             2.14086           -0.653443
                  16             2.46592             2.28268           -0.593111
                  17             2.62004             2.42637           -0.537366
                  18             2.77416             2.57193           -0.486727
                  19             2.92828             2.71914           -0.441091
                  20              3.0824             2.86768            -0.40001
                  21             3.23652             3.01729           -0.362975
                  22             3.39064             3.16775           -0.329618
                  23             3.54476             3.31892            -0.29961
                  24             3.69888             3.47066           -0.272615
                  25               3.853             3.62285           -0.248308
                  26             4.00712             3.77541            -0.22641
                  27             4.16124             3.92826           -0.206674
                  28             4.31536             4.08135             -0.1889
                  29             4.46948             4.23464           -0.172882
                  30              4.6236             4.38808           -0.158435
                  31             4.77772             4.54164           -0.145386
                  32             4.93184             4.69531           -0.133601
                  33             5.08596             4.84906           -0.122952
                  34             5.24008             5.00288           -0.113307
                  35              5.3942             5.15675           -0.104541
                  36             5.54832             5.31066          -0.0965527
                  37             5.70244             5.46461           -0.089265
                  38             5.85655             5.61859          -0.0826117
                  39             6.01067             5.77259          -0.0765288
                  40             6.16479             5.92661          -0.0709585
                  41             6.31891             6.08064          -0.0658506
                  42             6.47303             6.23469          -0.0611619
                  43             6.62715             6.38875          -0.0568532
                  44             6.78127             6.54282           -0.052889
                  45             6.93539              6.6969           -0.049237
                  46             7.08951             6.85098          -0.0458694
                  47             7.24363             7.00507           -0.042761
                  48             7.39775             7.15916          -0.0398891
                  49             7.55187             7.31326          -0.0372324
                  50             7.70599             7.46736          -0.0347722
                  51             7.86011             7.62146          -0.0324925
                  52             8.01423             7.77557          -0.0303789
                  53             8.16835             7.92967          -0.0284182
                  54             8.32247             8.08378          -0.0265981
                  55             8.47659             8.23789          -0.0249073
                  56             8.63071               8.392           -0.023336
                  57             8.78483             8.54612          -0.0218751
                  58             8.93895             8.70023          -0.0205164
                  59             9.09307             8.85435          -0.0192522
                  60             9.24719             9.00846          -0.0180758
                  61             9.40131             9.16258          -0.0169809
                  62             9.55543             9.31669          -0.0159618
                  63             9.70955             9.47081          -0.0150133
                  64             9.86367             9.62493          -0.0141305
                  65             10.0178             9.77905          -0.0133094
                  66             10.1719             9.93316          -0.0125455
                  67              10.326             10.0873          -0.0118351
                  68             10.4802             10.2414          -0.0111746
                  69             10.6343             10.3955           -0.010562
                  70             10.7884             10.5496         -0.00999464
                  71             10.9425             10.7038         -0.00947004
                  72             11.0966             10.8579         -0.00898538
                  73             11.2508              11.012         -0.00853841
                  74             11.4049             11.1661          -0.0081272
                  75              11.559             11.3202         -0.00774994
                  76             11.7131             11.4744         -0.00740519
                  77             11.8672             11.6285         -0.00709157
                  78             12.0213             11.7826         -0.00680772
                  79             12.1755             11.9367         -0.00655289
                  80             12.3296             12.0908         -0.00632477
                  81             12.4837              12.245          -0.0061226
                  82             12.6378             12.3991         -0.00594279
                  83             12.7919             12.5532         -0.00579795
                  84             12.9461             12.7073         -0.00568842
                  85             13.1002             12.8614         -0.00561654
                  86             13.2543             13.0156         -0.00556447
                  87             13.4084             13.1697         -0.00553506
                  88             13.5625             13.3238         -0.00552847
                  89             13.7167             13.4779         -0.00554468
                  90             13.8708              13.632         -0.00558539
                  91             14.0249             13.7862         -0.00565248
                  92              14.179             13.9403         -0.00574878
                  93             14.3331             14.0944         -0.00587676
                  94             14.4873             14.2485         -0.00604192
                  95             14.6414             14.4026         -0.00625183
                  96             14.7955             14.5567         -0.00651963
                  97             14.9496             14.7109         -0.00685178
                  98             15.1037              14.865         -0.00728416
                  99             15.2579             15.0191         -0.00791118
