            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -2.44651
                   1             0.15968            0.155701            -2.41109
                   2            0.319361            0.309703            -2.36888
                   3            0.479041            0.462011            -2.32092
                   4            0.638722            0.609229            -2.25908
                   5            0.798402             0.74978            -2.18329
                   6            0.958082            0.882576            -2.09462
                   7             1.11776             1.00673            -1.99421
                   8             1.27744             1.12172            -1.88341
                   9             1.43712             1.22812            -1.76434
                  10              1.5968             1.32749            -1.63935
                  11             1.75648             1.42187            -1.51055
                  12             1.91616             1.51415            -1.38023
                  13             2.07585             1.60767             -1.2508
                  14             2.23553              1.7058            -1.12483
                  15             2.39521             1.81108            -1.00477
                  16             2.55489             1.92499           -0.892873
                  17             2.71457             2.04797           -0.791019
                  18             2.87425             2.17923           -0.700078
                  19             3.03393             2.31725           -0.619794
                  20             3.19361              2.4605           -0.549241
                  21             3.35329              2.6077           -0.487336
                  22             3.51297             2.75782           -0.432918
                  23             3.67265             2.91009           -0.384841
                  24             3.83233             3.06397           -0.342182
                  25             3.99201             3.21907           -0.304234
                  26             4.15169             3.37513           -0.270443
                  27             4.31137             3.53195           -0.240349
                  28             4.47105             3.68938           -0.213595
                  29             4.63073             3.84729           -0.189888
                  30             4.79041             4.00559            -0.16897
                  31             4.95009             4.16421           -0.150577
                  32             5.10977             4.32307           -0.134422
                  33             5.26945             4.48212           -0.120223
                  34             5.42913             4.64131           -0.107717
                  35             5.58881             4.80061           -0.096668
                  36             5.74849             4.95998            -0.08685
                  37             5.90817             5.11942          -0.0780711
                  38             6.06785             5.27891           -0.070195
                  39             6.22754             5.43843          -0.0631284
                  40             6.38722             5.59799          -0.0567923
                  41              6.5469             5.75757          -0.0511095
                  42             6.70658             5.91717          -0.0460102
                  43             6.86626             6.07678           -0.041435
                  44             7.02594             6.23641          -0.0373313
                  45             7.18562             6.39605          -0.0336481
                  46              7.3453             6.55569          -0.0303365
                  47             7.50498             6.71534          -0.0273537
                  48             7.66466               6.875          -0.0246636
                  49             7.82434             7.03466          -0.0222339
                  50             7.98402             7.19433          -0.0200342
                  51              8.1437               7.354          -0.0180386
                  52             8.30338             7.51367          -0.0162277
                  53             8.46306             7.67334          -0.0145863
                  54             8.62274             7.83301          -0.0130995
                  55             8.78242             7.99269          -0.0117519
                  56              8.9421             8.15236          -0.0105295
                  57             9.10178             8.31204         -0.00942049
                  58             9.26146             8.47172         -0.00841448
                  59             9.42114              8.6314         -0.00750174
                  60             9.58082             8.79107         -0.00667317
                  61              9.7405             8.95075           -0.005921
                  62             9.90018             9.11043         -0.00523821
                  63             10.0599             9.27011         -0.00461879
                  64             10.2195             9.42979         -0.00405685
                  65             10.3792             9.58947          -0.0035478
                  66             10.5389             9.74915         -0.00308724
                  67             10.6986             9.90883         -0.00267105
                  68             10.8583             10.0685         -0.00229413
                  69             11.0179             10.2282          -0.0019532
                  70             11.1776             10.3879         -0.00164723
                  71             11.3373             10.5475          -0.0013754
                  72              11.497             10.7072         -0.00113502
                  73             11.6567             10.8669        -0.000922398
                  74             11.8163             11.0266        -0.000735284
                  75              11.976             11.1863        -0.000571799
                  76             12.1357              11.346        -0.000430203
                  77             12.2954             11.5056        -0.000309792
                  78             12.4551             11.6653        -0.000208735
                  79             12.6148              11.825        -0.000127143
                  80             12.7744             11.9847        -6.20184e-05
                  81             12.9341             12.1444        -1.46628e-05
                  82             13.0938              12.304         2.38296e-05
                  83             13.2535             12.4637         4.21163e-05
                  84             13.4132             12.6234         2.90326e-05
                  85             13.5728             12.7831         -2.9889e-05
                  86             13.7325             12.9428        -0.000109484
                  87             13.8922             13.1024        -0.000198396
                  88             14.0519             13.2621        -0.000300548
                  89             14.2116             13.4218        -0.000414981
                  90             14.3712             13.5815        -0.000543312
                  91             14.5309             13.7412        -0.000688014
                  92             14.6906             13.9008        -0.000853066
                  93             14.8503             14.0605         -0.00104065
                  94               15.01             14.2202         -0.00125723
                  95             15.1696             14.3799          -0.0015111
                  96             15.3293             14.5396         -0.00182165
                  97              15.489             14.6992          -0.0021894
                  98             15.6487             14.8589         -0.00265458
                  99             15.8084             15.0186         -0.00333555
