            Interval               Theta              Radial            Vertical
                   0                   0                   0             3.08596
                   0                   0                   0             3.08596
                   1           0.0317333           0.0317279             3.08546
                   2           0.0634665           0.0634239             3.08395
                   3           0.0951998            0.095056             3.08143
                   4            0.126933            0.126592             3.07792
                   5            0.158666            0.158001              3.0734
                   6              0.1904            0.189251             3.06789
                   7            0.222133            0.220311             3.06139
                   8            0.253866            0.251148             3.05391
                   9            0.285599            0.281733             3.04545
                  10            0.317333            0.312033             3.03603
                  11            0.349066             0.34202             3.02565
                  12            0.380799            0.371662             3.01433
                  13            0.412532            0.400931             3.00207
                  14            0.444266            0.429795             2.98889
                  15            0.475999            0.458227              2.9748
                  16            0.507732            0.486197             2.95981
                  17            0.539465            0.513677             2.94395
                  18            0.571199            0.540641             2.92722
                  19            0.602932             0.56706             2.90964
                  20            0.634665            0.592908             2.89123
                  21            0.666398            0.618159             2.87201
                  22            0.698132            0.642788             2.85201
                  23            0.729865            0.666769             2.83123
                  24            0.761598            0.690079              2.8097
                  25            0.793331            0.712694             2.78744
                  26            0.825065            0.734592             2.76447
                  27            0.856798             0.75575             2.74082
                  28            0.888531            0.776146             2.71651
                  29            0.920265            0.795762             2.69157
                  30            0.951998            0.814576             2.66602
                  31            0.983731             0.83257             2.63988
                  32             1.01546            0.849725             2.61319
                  33              1.0472            0.866025             2.58596
                  34             1.07893            0.881453             2.55823
                  35             1.11066            0.895994             2.53003
                  36              1.1424            0.909632             2.50138
                  37             1.17413            0.922354             2.47231
                  38             1.20586            0.934148             2.44285
                  39              1.2376            0.945001             2.41303
                  40             1.26933            0.954902             2.38288
                  41             1.30106            0.963842             2.35244
                  42              1.3328            0.971812             2.32172
                  43             1.36453            0.978802             2.29077
                  44             1.39626            0.984808             2.25961
                  45               1.428            0.989821             2.22828
                  46             1.45973            0.993838              2.1968
                  47             1.49146            0.996855             2.16521
                  48              1.5232            0.998867             2.13354
                  49             1.55493            0.999874             2.10183
                  50             1.58666            0.999874              2.0701
                  51              1.6184            0.998867             2.03838
                  52             1.65013            0.996855             2.00671
                  53             1.68186            0.993838             1.97512
                  54              1.7136            0.989821             1.94365
                  55             1.74533            0.984808             1.91231
                  56             1.77706            0.978802             1.88115
                  57              1.8088            0.971812              1.8502
                  58             1.84053            0.963842             1.81949
                  59             1.87226            0.954902             1.78904
                  60               1.904            0.945001             1.75889
                  61             1.93573            0.934148             1.72908
                  62             1.96746            0.922354             1.69962
                  63              1.9992            0.909632             1.67055
                  64             2.03093            0.895994              1.6419
                  65             2.06266            0.881453             1.61369
                  66              2.0944            0.866025             1.58596
                  67             2.12613            0.849725             1.55874
                  68             2.15786             0.83257             1.53204
                  69             2.18959            0.814576              1.5059
                  70             2.22133            0.795762             1.48035
                  71             2.25306            0.776146             1.45541
                  72             2.28479             0.75575              1.4311
                  73             2.31653            0.734592             1.40745
                  74             2.34826            0.712694             1.38449
                  75             2.37999            0.690079             1.36223
                  76             2.41173            0.666769              1.3407
                  77             2.44346            0.642788             1.31992
                  78             2.47519            0.618159             1.29991
                  79             2.50693            0.592908             1.28069
                  80             2.53866             0.56706             1.26229
                  81             2.57039            0.540641             1.24471
                  82             2.60213            0.513677             1.22798
                  83             2.63386            0.486197             1.21211
                  84             2.66559            0.458227             1.19713
                  85             2.69733            0.429795             1.18304
                  86             2.72906            0.400931             1.16985
                  87             2.76079            0.371662             1.15759
                  88             2.79253             0.34202             1.14627
                  89             2.82426            0.312033             1.13589
                  90             2.85599            0.281733             1.12647
                  91             2.88773            0.251148             1.11801
                  92             2.91946            0.220311             1.11053
                  93             2.95119            0.189251             1.10403
                  94             2.98293            0.158001             1.09852
                  95             3.01466            0.126592             1.09401
                  96             3.04639            0.095056             1.09049
                  97             3.07813           0.0634239             1.08797
                  98             3.10986           0.0317279             1.08647
                  99             3.14159                   0             1.08596
