            Interval               Theta              Radial            Vertical
                   0                   0                   0            -2.89101
                   0                   0                   0            -2.89101
                   1           0.0317333           0.0317279            -2.89151
                   2           0.0634665           0.0634239            -2.89302
                   3           0.0951998            0.095056            -2.89554
                   4            0.126933            0.126592            -2.89905
                   5            0.158666            0.158001            -2.90357
                   6              0.1904            0.189251            -2.90908
                   7            0.222133            0.220311            -2.91558
                   8            0.253866            0.251148            -2.92306
                   9            0.285599            0.281733            -2.93152
                  10            0.317333            0.312033            -2.94094
                  11            0.349066             0.34202            -2.95132
                  12            0.380799            0.371662            -2.96264
                  13            0.412532            0.400931             -2.9749
                  14            0.444266            0.429795            -2.98808
                  15            0.475999            0.458227            -3.00217
                  16            0.507732            0.486197            -3.01716
                  17            0.539465            0.513677            -3.03303
                  18            0.571199            0.540641            -3.04976
                  19            0.602932             0.56706            -3.06733
                  20            0.634665            0.592908            -3.08574
                  21            0.666398            0.618159            -3.10496
                  22            0.698132            0.642788            -3.12497
                  23            0.729865            0.666769            -3.14575
                  24            0.761598            0.690079            -3.16728
                  25            0.793331            0.712694            -3.18953
                  26            0.825065            0.734592             -3.2125
                  27            0.856798             0.75575            -3.23615
                  28            0.888531            0.776146            -3.26046
                  29            0.920265            0.795762             -3.2854
                  30            0.951998            0.814576            -3.31095
                  31            0.983731             0.83257            -3.33709
                  32             1.01546            0.849725            -3.36378
                  33              1.0472            0.866025            -3.39101
                  34             1.07893            0.881453            -3.41874
                  35             1.11066            0.895994            -3.44694
                  36              1.1424            0.909632            -3.47559
                  37             1.17413            0.922354            -3.50466
                  38             1.20586            0.934148            -3.53412
                  39              1.2376            0.945001            -3.56394
                  40             1.26933            0.954902            -3.59409
                  41             1.30106            0.963842            -3.62454
                  42              1.3328            0.971812            -3.65525
                  43             1.36453            0.978802             -3.6862
                  44             1.39626            0.984808            -3.71736
                  45               1.428            0.989821            -3.74869
                  46             1.45973            0.993838            -3.78017
                  47             1.49146            0.996855            -3.81176
                  48              1.5232            0.998867            -3.84343
                  49             1.55493            0.999874            -3.87514
                  50             1.58666            0.999874            -3.90688
                  51              1.6184            0.998867            -3.93859
                  52             1.65013            0.996855            -3.97026
                  53             1.68186            0.993838            -4.00185
                  54              1.7136            0.989821            -4.03332
                  55             1.74533            0.984808            -4.06466
                  56             1.77706            0.978802            -4.09582
                  57              1.8088            0.971812            -4.12677
                  58             1.84053            0.963842            -4.15748
                  59             1.87226            0.954902            -4.18793
                  60               1.904            0.945001            -4.21808
                  61             1.93573            0.934148             -4.2479
                  62             1.96746            0.922354            -4.27735
                  63              1.9992            0.909632            -4.30642
                  64             2.03093            0.895994            -4.33508
                  65             2.06266            0.881453            -4.36328
                  66              2.0944            0.866025            -4.39101
                  67             2.12613            0.849725            -4.41824
                  68             2.15786             0.83257            -4.44493
                  69             2.18959            0.814576            -4.47107
                  70             2.22133            0.795762            -4.49662
                  71             2.25306            0.776146            -4.52156
                  72             2.28479             0.75575            -4.54587
                  73             2.31653            0.734592            -4.56952
                  74             2.34826            0.712694            -4.59248
                  75             2.37999            0.690079            -4.61474
                  76             2.41173            0.666769            -4.63627
                  77             2.44346            0.642788            -4.65705
                  78             2.47519            0.618159            -4.67706
                  79             2.50693            0.592908            -4.69628
                  80             2.53866             0.56706            -4.71469
                  81             2.57039            0.540641            -4.73226
                  82             2.60213            0.513677            -4.74899
                  83             2.63386            0.486197            -4.76486
                  84             2.66559            0.458227            -4.77984
                  85             2.69733            0.429795            -4.79394
                  86             2.72906            0.400931            -4.80712
                  87             2.76079            0.371662            -4.81938
                  88             2.79253             0.34202             -4.8307
                  89             2.82426            0.312033            -4.84108
                  90             2.85599            0.281733             -4.8505
                  91             2.88773            0.251148            -4.85896
                  92             2.91946            0.220311            -4.86644
                  93             2.95119            0.189251            -4.87294
                  94             2.98293            0.158001            -4.87845
                  95             3.01466            0.126592            -4.88296
                  96             3.04639            0.095056            -4.88648
                  97             3.07813           0.0634239              -4.889
                  98             3.10986           0.0317279            -4.89051
                  99             3.14159                   0            -4.89101
