            Interval               Theta              Radial            Vertical
                   0                   0                   0            0.432955
                   0                   0                   0            0.432955
                   1           0.0317333           0.0317279            0.432452
                   2           0.0634665           0.0634239            0.430942
                   3           0.0951998            0.095056            0.428427
                   4            0.126933            0.126592             0.42491
                   5            0.158666            0.158001            0.420394
                   6              0.1904            0.189251            0.414884
                   7            0.222133            0.220311            0.408385
                   8            0.253866            0.251148            0.400904
                   9            0.285599            0.281733            0.392448
                  10            0.317333            0.312033            0.383027
                  11            0.349066             0.34202            0.372648
                  12            0.380799            0.371662            0.361323
                  13            0.412532            0.400931            0.349064
                  14            0.444266            0.429795            0.335882
                  15            0.475999            0.458227            0.321791
                  16            0.507732            0.486197            0.306805
                  17            0.539465            0.513677            0.290939
                  18            0.571199            0.540641            0.274209
                  19            0.602932             0.56706            0.256632
                  20            0.634665            0.592908            0.238226
                  21            0.666398            0.618159            0.219009
                  22            0.698132            0.642788               0.199
                  23            0.729865            0.666769             0.17822
                  24            0.761598            0.690079            0.156689
                  25            0.793331            0.712694             0.13443
                  26            0.825065            0.734592            0.111465
                  27            0.856798             0.75575           0.0878162
                  28            0.888531            0.776146           0.0635081
                  29            0.920265            0.795762           0.0385651
                  30            0.951998            0.814576           0.0130123
                  31            0.983731             0.83257          -0.0131245
                  32             1.01546            0.849725          -0.0398191
                  33              1.0472            0.866025          -0.0670446
                  34             1.07893            0.881453          -0.0947735
                  35             1.11066            0.895994           -0.122978
                  36              1.1424            0.909632            -0.15163
                  37             1.17413            0.922354           -0.180699
                  38             1.20586            0.934148           -0.210158
                  39              1.2376            0.945001           -0.239977
                  40             1.26933            0.954902           -0.270124
                  41             1.30106            0.963842           -0.300571
                  42              1.3328            0.971812           -0.331286
                  43             1.36453            0.978802           -0.362238
                  44             1.39626            0.984808           -0.393396
                  45               1.428            0.989821            -0.42473
                  46             1.45973            0.993838           -0.456206
                  47             1.49146            0.996855           -0.487795
                  48              1.5232            0.998867           -0.519463
                  49             1.55493            0.999874           -0.551179
                  50             1.58666            0.999874           -0.582911
                  51              1.6184            0.998867           -0.614626
                  52             1.65013            0.996855           -0.646295
                  53             1.68186            0.993838           -0.677883
                  54              1.7136            0.989821           -0.709359
                  55             1.74533            0.984808           -0.740693
                  56             1.77706            0.978802           -0.771851
                  57              1.8088            0.971812           -0.802804
                  58             1.84053            0.963842           -0.833518
                  59             1.87226            0.954902           -0.863965
                  60               1.904            0.945001           -0.894113
                  61             1.93573            0.934148           -0.923931
                  62             1.96746            0.922354            -0.95339
                  63              1.9992            0.909632            -0.98246
                  64             2.03093            0.895994            -1.01111
                  65             2.06266            0.881453            -1.03932
                  66              2.0944            0.866025            -1.06704
                  67             2.12613            0.849725            -1.09427
                  68             2.15786             0.83257            -1.12096
                  69             2.18959            0.814576             -1.1471
                  70             2.22133            0.795762            -1.17265
                  71             2.25306            0.776146             -1.1976
                  72             2.28479             0.75575            -1.22191
                  73             2.31653            0.734592            -1.24555
                  74             2.34826            0.712694            -1.26852
                  75             2.37999            0.690079            -1.29078
                  76             2.41173            0.666769            -1.31231
                  77             2.44346            0.642788            -1.33309
                  78             2.47519            0.618159             -1.3531
                  79             2.50693            0.592908            -1.37231
                  80             2.53866             0.56706            -1.39072
                  81             2.57039            0.540641             -1.4083
                  82             2.60213            0.513677            -1.42503
                  83             2.63386            0.486197            -1.44089
                  84             2.66559            0.458227            -1.45588
                  85             2.69733            0.429795            -1.46997
                  86             2.72906            0.400931            -1.48315
                  87             2.76079            0.371662            -1.49541
                  88             2.79253             0.34202            -1.50674
                  89             2.82426            0.312033            -1.51712
                  90             2.85599            0.281733            -1.52654
                  91             2.88773            0.251148            -1.53499
                  92             2.91946            0.220311            -1.54247
                  93             2.95119            0.189251            -1.54897
                  94             2.98293            0.158001            -1.55448
                  95             3.01466            0.126592              -1.559
                  96             3.04639            0.095056            -1.56252
                  97             3.07813           0.0634239            -1.56503
                  98             3.10986           0.0317279            -1.56654
                  99             3.14159                   0            -1.56704
